date,open,high,low,close,volume,amount,stock_id,name,industry_category,macd,macd_signal,macd_hist,ema20,ema60,ema120,rsi14,adx14,atr14,volume_ma20,amount_ma20,close_20d_high,close_10d_low,lr_slope_20,lr_slope_60,return_5d,day_return,prev_close,prev_volume_ratio,bb_upper,bb_mid,bb_lower,bb_pct_b,bb_bandwidth,stoch_k,stoch_d,obv,obv_ma,williams_r,cci20,mfi14,ichi_senkou_a,ichi_senkou_b,market_ma60,market_above_ma60,market_return_5d,foreign_net,foreign_buy_streak,invest_trust_net,invest_trust_streak,dealer_net,dealer_buy_streak,relative_strength_5d,margin_change_5d,short_ratio,revenue_yoy,revenue_mom,revenue_3m_yoy,foreign_holding_pct,foreign_holding_chg5d,insider_net_30d,has_buyback,limit_down_streak,macd_golden_cross,hist_turn_positive,above_ema60,ema60_gt_ema120,volume_ratio,volume_break,rsi_strong,adx_trending,breakout_20d,avoid_chase,liquidity_ok,foreign_buy_3d,stronger_than_market,kd_golden_cross,obv_uptrend,invest_trust_buy_2d,dealer_buy_3d,bb_squeeze_breakout,breakout_volume_confirm,williams_r_recovery,cci_momentum,mfi_strong,above_ichimoku_cloud,long_upper_shadow,open_high_close_low,gap_chase_after_blowout,earnings_blocked,f_score,f_score_low,condition_count,skip_trade,entry_signal,entry_score,momentum_score,macd_death_cross,close_below_ema20,close_below_swing_low,base_exit_signal,entry_reason,skip_reason,base_exit_reason
2026-06-05,325.0,329.5,301.5,325.0,7243579,2296964545,6197,佳必琪,,30.597520524350784,25.24748110514767,5.350039419203114,274.0964887067726,224.68785222762835,196.14645998963,78.2777932691546,54.67563455644803,16.9419299824942,5350482.05,1461651452.1,329.0,256.0,2.359974027695919,1.0225669748255457,0.0942760942760942,0.0268562401263823,316.5,0.9887988132537936,343.1792460685172,264.575,185.9707539314828,0.8843621879365727,0.5941925432751937,80.3030303030303,81.4547288460332,174736329.0,130599934.8,-10.317460317460318,102.60465116279066,82.12327783601962,183.75,172.5,87394.99533333331,True,0.007619570969944,339954.0,1.0,0.0,0.0,-111644.0,0.0,0.0866565233061502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,0,False,False,True,True,1.353818017200899,False,True,True,False,False,True,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,-1,False,10,False,False,753.538180172009,35.4,False,False,False,False,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, mfi_strong, above_ichimoku_cloud",,
2026-06-05,49.3,49.55,48.85,49.0,43095,2117813,6201,亞弘電,,-0.2468882191509038,-0.4952430416849781,0.2483548225340742,48.82934963750976,50.14995745969688,51.942942750446086,49.82552447512506,28.5950528067837,0.9152916510327612,62038.65,2993916.7,50.6,47.0,0.0202229822573696,-0.1176287812871405,0.008230452674897,-0.0060851926977687,49.3,0.3403625660365285,50.48539049395555,48.412500000000094,46.33960950604464,0.6417103319526659,0.0856345156294531,38.235294117646994,52.27761836441884,-738970.0,-739170.25,-47.727272727272776,49.66949952785583,73.92064325637473,51.025,51.8,87394.99533333331,True,0.007619570969944,9000.0,1.0,0.0,0.0,3000.0,1.0,0.000610881704953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,0,False,False,False,False,0.6946476108039101,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,-1,False,6,False,False,456.9464761080391,10.4,False,False,False,False,"market_above_ma60, avoid_chase, adx_trending, stronger_than_market, obv_uptrend, mfi_strong",,
2026-06-05,56.9,57.0,54.2,55.0,2615689,144186569,6202,盛群,,0.6655880122197573,1.0871356446450902,-0.4215476324253329,57.32819431306963,54.701309535232745,51.112548830945805,44.71418156650565,16.77980165660381,3.05743623019422,4171505.6,244489817.15,61.5,57.4,0.232817181382142,0.2399146941508499,-0.0630323679727428,-0.0418118466898954,57.4,0.4071982958836476,62.90786978630493,57.440000000000055,51.97213021369518,0.2768783735385019,0.1903854382418129,6.95652173913041,15.377259823696171,120642170.0,121463947.6,-73.79310344827587,-59.45009845088119,62.33256528039547,55.3625,55.225,87394.99533333331,True,0.007619570969944,-604788.0,0.0,0.0,0.0,-41286.0,0.0,-0.0706519389426868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,0,False,False,True,True,0.6270371541632355,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,-1,False,6,False,False,346.2703715416324,8.3,False,True,True,True,"above_ema60, ema60_gt_ema120, market_above_ma60, avoid_chase, liquidity_ok, mfi_strong",,"close_below_ema20, close_below_swing_low"
2026-06-05,140.0,143.5,137.0,141.5,1904333,267637962,6206,飛捷,,6.777456637007816,7.453260788785839,-0.6758041517780233,134.81103570816882,119.96810272600568,111.8319460864432,67.00643210396771,38.394407934125205,5.945348925869207,3187166.55,438376126.9,144.0,137.5,0.3497477872389075,0.7042746199726968,0.029090909090909,0.0107142857142856,140.0,0.3762358782912166,146.4255193756366,137.4,128.3744806243634,0.7271337431875384,0.1313758278840845,57.89473684210526,53.96491228070166,49879075.0,48129054.65,-23.07692307692308,58.23475887170176,60.97944920930013,106.45,100.85,87394.99533333331,True,0.007619570969944,216994.0,2.0,-7644.0,0.0,16865.0,1.0,0.021471338120965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,0,False,False,True,True,0.597500309483356,False,True,True,False,True,True,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,-1,False,12,False,False,895.9750030948336,17.0,False,False,False,False,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, avoid_chase, liquidity_ok, adx_trending, stronger_than_market, kd_golden_cross, obv_uptrend, mfi_strong, above_ichimoku_cloud",,
2026-06-05,84.2,86.5,81.0,82.1,1676347,139206474,6205,詮欣,,2.0151250300151133,1.9822821139346616,0.0328429160804517,82.3887432350952,74.38269959468282,65.5387938437746,50.9662637909797,24.80686977685371,5.975372975377738,3464258.6,291653355.6,91.2,77.0,0.3354010108753967,0.9276676796921324,0.0525641025641026,-0.0453488372093023,86.0,1.0269134451786377,91.44588649446878,81.41999999999999,71.3941135055312,0.5339122131681402,0.2462757674887937,32.38636363636358,57.00757575757598,37224135.0,22139434.1,-54.58715596330278,31.25415025012149,71.1185248524537,75.65,69.725,87394.99533333331,True,0.007619570969944,179485.0,1.0,0.0,0.0,-225.0,0.0,0.0449445315941585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,0,False,False,True,True,0.4838977667544796,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,-1,False,9,False,False,664.8389776675448,25.2,False,True,False,True,"above_ema60, ema60_gt_ema120, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, mfi_strong, above_ichimoku_cloud",,close_below_ema20
2026-06-05,85.0,89.0,82.2,87.9,38454348,3323156408,6209,今國光,,5.185500135041309,5.058382153069656,0.1271179819716525,78.37902107800913,69.0982092094793,62.49987360545465,66.1483543364962,32.78242191306487,5.080381912503843,18621364.45,1493211818.45,86.7,79.2,1.54802842338048,0.9001142438767278,0.0758873929008567,0.037780401416765,84.7,0.9415993686437124,93.786424685538,77.44000000000005,61.0935753144621,0.8199476399647853,0.4221700590273229,90.35087719298252,55.430242272347336,336261964.0,249533049.25,-12.987012987012982,82.50181595748757,81.73480915414626,61.875,59.2,87394.99533333331,True,0.007619570969944,-635542.0,0.0,0.0,0.0,150448.0,3.0,0.0682678219309127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,0,True,True,True,True,2.0650660752198533,True,True,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,False,-1,False,16,False,False,1205.6506607521983,47.7,False,False,False,False,"macd_golden_cross, above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, hist_turn_positive, adx_trending, stronger_than_market, obv_uptrend, dealer_buy_3d, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",,
2026-06-05,257.5,257.5,240.0,254.5,7795202,1952356174,6213,聯茂,,4.591942931451399,7.28172924525618,-2.689786313804781,264.87559450816303,232.5581611589196,193.46252729198443,47.57425875061023,22.176915102764102,19.34999242657793,16040221.05,4384877647.65,300.5,260.5,-0.0344498893010269,1.3358787936519034,-0.0521415270018621,-0.0230326295585412,260.5,0.4513121078721989,298.55116563520363,265.5749999999998,232.598834364796,0.3320756857768714,0.248337875441618,25.43859649122807,24.800681463615547,881537512.0,886676182.45,-63.43283582089552,-81.49959250203777,55.26081441480187,250.25,208.25,87394.99533333331,True,0.007619570969944,435013.0,1.0,0.0,0.0,-383573.0,0.0,-0.0597610979718061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,0,False,False,True,True,0.4859784647419182,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,-1,False,9,False,False,589.8597846474191,11.4,False,True,True,True,"above_ema60, ema60_gt_ema120, market_above_ma60, avoid_chase, liquidity_ok, adx_trending, kd_golden_cross, mfi_strong, above_ichimoku_cloud",,"close_below_ema20, close_below_swing_low"
2026-06-05,147.5,147.5,143.0,144.5,2682059,387913903,6214,精誠,,7.153865355749787,5.110677915908596,2.0431874398411907,135.33863935665914,125.62341345360788,121.88672695556949,63.64981378842333,38.03330977492331,5.831867871096588,2218372.65,312678640.15,158.0,129.0,1.1535660996784205,0.4397241260412304,0.1030534351145038,-0.0366666666666666,150.0,2.10109131056349,154.0199195020214,132.125,110.2300804979786,0.7825998058329812,0.3314273529161233,50.0,63.333333333333336,20395289.0,27179042.6,-44.87179487179487,94.89939167056636,46.87004548954558,119.625,116.25,87394.99533333331,True,0.007619570969944,535594.0,1.0,-3000.0,0.0,-10089.0,0.0,0.0954338641445597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,0,False,False,True,True,1.209020946052504,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-1,False,8,False,False,647.090209460525,32.0,False,False,False,False,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, above_ichimoku_cloud",,
2026-06-05,119.0,123.0,117.5,118.0,3334081,398717847,6215,和椿,,1.7853721477223985,3.844274190837515,-2.0589020431151166,121.81995823052424,115.7781631804739,113.01522912293257,47.172090938106415,22.94403348026524,7.036787009482921,6275671.7,793880619.15,135.0,117.0,-0.1110320939997861,0.4108756850827508,-0.0745098039215685,0.0085470085470085,117.0,0.3405916076638195,136.27962460850193,124.925,113.57037539149805,0.1950581706235011,0.1817830635741756,17.02127659574468,12.11315280464199,400746626.0,401852849.8,-83.33333333333333,-80.38682381384108,54.28770634871164,104.75,106.55,87394.99533333331,True,0.007619570969944,-523000.0,0.0,0.0,0.0,14887.0,1.0,-0.0821293748915126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,0,False,False,True,True,0.5312707801461316,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,-1,False,8,True,False,510.3127078014613,8.9,False,True,False,True,"above_ema60, ema60_gt_ema120, market_above_ma60, avoid_chase, liquidity_ok, adx_trending, mfi_strong, above_ichimoku_cloud",long_upper_shadow,close_below_ema20
2026-06-05,23.7,23.7,23.35,23.6,353972,8347443,6216,居易,,-0.1585945795673247,-0.4091911825149614,0.2505966029476367,23.18235368434101,24.1951581978495,25.369653657848925,53.712718560181614,26.027970997423857,0.5305169271321084,318765.1,7278926.3,23.9,22.2,0.1745701216077167,-0.2593691340920632,0.0535714285714286,-0.0063157894736841,23.75,0.6610906913288038,23.92848211155146,22.782500000000027,21.636517888448594,0.8566809602696333,0.1006019630463234,77.77777777777787,86.4522417153997,-2324880.0,-3372407.4,-19.99999999999993,107.20328740633296,72.73298750068159,25.15,26.3,87394.99533333331,True,0.007619570969944,-27000.0,0.0,0.0,0.0,-1002.0,0.0,0.0459518576014845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,0,False,False,False,False,1.11044778741462,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,-1,False,5,False,False,426.1044778741462,20.0,False,False,False,False,"market_above_ma60, adx_trending, stronger_than_market, obv_uptrend, mfi_strong",,
