date,open,high,low,close,volume,amount,stock_id,name,industry_category,macd,macd_signal,macd_hist,ema20,ema60,ema120,rsi14,adx14,atr14,volume_ma20,amount_ma20,close_20d_high,close_10d_low,lr_slope_20,lr_slope_60,return_5d,day_return,prev_close,prev_volume_ratio,bb_upper,bb_mid,bb_lower,bb_pct_b,bb_bandwidth,stoch_k,stoch_d,sma5,sma10,obv,obv_ma,williams_r,cci20,mfi14,ichi_senkou_a,ichi_senkou_b,market_ma60,market_above_ma60,market_return_5d,foreign_net,foreign_buy_streak,invest_trust_net,invest_trust_streak,dealer_net,dealer_buy_streak,relative_strength_5d,margin_change_5d,short_ratio,revenue_yoy,revenue_mom,revenue_3m_yoy,foreign_holding_pct,foreign_holding_chg5d,insider_net_30d,has_buyback,limit_down_streak,macd_golden_cross,hist_turn_positive,above_ema60,ema60_gt_ema120,volume_ratio,volume_break,rsi_strong,adx_trending,breakout_20d,avoid_chase,liquidity_ok,foreign_buy_3d,stronger_than_market,kd_golden_cross,obv_uptrend,invest_trust_buy_2d,dealer_buy_3d,bb_squeeze_breakout,breakout_volume_confirm,williams_r_recovery,cci_momentum,mfi_strong,ma5_above_ma10,kd_level_score,bb_level_signal,gap_to_20d_high_pct,breakout_proximity_score,obv_strength,foreign_buy_accel,invest_trust_accel,above_ichimoku_cloud,long_upper_shadow,open_high_close_low,gap_chase_after_blowout,earnings_blocked,f_score,f_score_low,condition_count,skip_trade,entry_signal,entry_score,momentum_score,expected_hold_days,momentum_decay_signal,estimated_sl_days,macd_death_cross,close_below_ema20,close_below_swing_low,base_exit_signal,entry_reason,skip_reason,base_exit_reason,sector_rs,sector_rs_rank,market_rs_rank,sector_breadth_60,sector_vol_zscore,is_sector_leader,sector_stock_count,grade
2026-09-23,9.5,9.51,9.32,9.47,260747,2464953,1471,首利,,-0.0945812728495987,-0.0859633877995786,-0.0086178850500201,9.565966505580178,9.879826539598884,10.241250969520378,44.96196933692144,16.73856574837353,0.2512258838303216,228100.6,2211014.75,10.1,9.3,-0.3617442878944975,-0.1448384835651537,0.0182795698924731,-0.001054852320675,9.48,1.2513589258945448,10.104415759077044,9.641499999999995,9.17858424092295,0.3147611129701763,0.0960256721624326,44.68085106382991,51.654475210706245,9.451999999999952,9.449000000000025,11751553.0,11868066.45,-64.4067796610168,-82.82567226632294,27.81715022951312,9.54,10.44,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-0.5922,-0.3448,0.0,0.75,-0.02,0,False,0,False,False,False,False,1.1431228151087722,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0,0.0,6.652587117212239,0.0,-0.1098505439026599,False,False,False,False,False,False,False,-1.0,False,2,False,False,85.11302162425581,,3,False,3,False,True,False,True,"market_above_ma60, avoid_chase",,close_below_ema20,-258.5,1.1,1.4,41.5,0.33,False,183,D
2026-09-23,70.7,71.3,70.1,70.4,229638,16209838,1582,信錦,,-1.0211860759823566,-0.9557443366975992,-0.0654417392847572,71.63425866055138,75.47778660517417,78.93874077722876,41.15205046066939,22.680761344112,1.485590377696546,423228.6,31133801.5,76.8,69.1,-0.5109652207138835,-0.1187189773187316,0.0071530758226037,-0.0028328611898015,70.6,0.985986922053122,77.30061220665816,72.4,67.49938779334185,0.2959438621482101,0.1353760278082362,62.962962962963005,64.27490470501228,70.7,70.3,-42028320.0,-41040386.15,-70.68965517241374,-58.40520502345303,26.32423963106544,71.8,86.25,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.016,-0.166,0.0,4.94,-0.09,0,False,0,False,False,False,False,0.5425862051855664,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0,0.0,9.09090909090908,0.0,-0.4104062266682418,False,False,False,False,False,False,False,-1.0,False,3,False,False,210.5009873318368,,5,False,3,False,True,False,True,"market_above_ma60, avoid_chase, adx_trending",,close_below_ema20,-133.1,16.4,18.0,41.5,-0.35,False,183,D
2026-09-23,64.2,65.2,63.0,63.3,4444471,284683871,1569,濱川,,4.116781877753716,2.580075148432355,1.5367067293213612,52.4206508289349,48.57780810016195,49.10621207693666,78.59100709023343,50.46559111482613,2.7530145266244017,2388038.65,138208508.8,64.2,48.85,1.5605318789857163,0.3138000363747606,0.2485207100591715,-0.0140186915887851,64.2,6.643313920211061,62.06256024417611,50.91000000000004,39.75743975582397,1.0554778332836212,0.4381284715842099,82.87292817679554,90.23941068139963,59.2,54.45500000000011,26261289.0,1917695.2,-14.761904761904798,215.3421497136736,84.51413361417808,42.8125,45.475,,,,36402.0,7.0,0.0,0.0,-16078.0,0.0,,0.0,0.0,-0.2528,0.0084,0.0,0.0,0.0,0,False,0,False,False,True,False,1.8611386377686976,True,True,True,False,False,True,True,False,False,True,False,False,False,False,False,False,True,True,-20.0,-25.0,1.4218009478673077,15.0,2.0,True,False,True,False,False,False,False,-1.0,False,9,False,False,617.6113863776869,,8,False,3,False,False,False,False,"volume_break, rsi_strong, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, obv_uptrend, mfi_strong, above_ichimoku_cloud",,,309.1,96.0,87.8,39.4,0.97,False,99,C
2026-09-23,16.35,16.35,15.6,15.7,1001005,15910302,1529,樂事綠能,,-0.4733836931557267,-0.5681306045458334,0.0947469113901067,16.080798431139563,17.710135789207214,19.392689739747897,42.05376656011214,34.27212294321861,0.5788174712651899,878051.3,13780850.9,17.6,14.8,-0.6224823211875918,-0.6024648456549683,0.0608108108108107,-0.0397553516819573,16.35,2.1482342346641428,17.67784198145139,16.142500000000062,14.607158018548732,0.3558952971566063,0.1902235690198325,52.941176470588246,77.12418300653553,15.690000000000143,15.595000000000072,22575848.0,25130970.75,-47.05882352941176,-29.01484480431853,47.20598399587038,17.9125,20.9,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0801,0.1169,0.0,1.67,0.52,0,False,0,False,False,False,False,1.1400302009688954,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0,0.0,12.101910828025492,0.0,-0.6534855351160489,False,False,False,False,False,False,False,-1.0,False,2,False,False,178.55847558829635,,8,False,3,False,True,False,True,"market_above_ma60, adx_trending",,close_below_ema20,-57.7,24.3,11.9,21.6,0.37,False,37,D
2026-09-23,24.85,26.1,24.65,25.65,130648955,3336742112,1101,台泥,,0.0966268662261065,0.0293141821525248,0.0673126840735816,24.47970727060532,24.328238529258872,24.25241627459678,63.913790489948845,30.20459220558615,0.5699564141405598,59696027.1,1470238067.05,25.3,23.8,0.0085466362868185,0.0964341385430055,0.0665280665280665,0.0448065173116087,24.55,0.5350972750232953,25.334941858487177,24.475000000000044,23.61505814151291,1.183185722617976,0.0702710405301026,80.85106382978712,59.83924349881757,24.629999999999928,24.41999999999998,519381610.0,327447749.0,-19.14893617021288,213.973799126638,62.10959495243025,24.025,23.9,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.1065,-0.0166,0.0,12.55,0.01,0,False,0,True,True,True,True,2.188570351275521,True,True,True,True,False,True,False,False,False,True,False,False,True,True,False,True,True,True,-20.0,-25.0,-1.3645224171539878,25.0,0.7549851649728372,False,False,True,False,False,False,False,-1.0,False,15,False,False,1110.9455254924294,,10,False,3,False,False,False,False,"macd_golden_cross, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, hist_turn_positive, adx_trending, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",,,890.4,100.0,100.0,28.6,1.86,True,7,D
2026-09-23,35.4,36.1,35.15,35.95,11337656,406238843,1102,亞泥,,0.3512906246919911,0.3474734994448196,0.0038171252471715,35.081058586909975,34.61200918432808,34.776646954740954,65.525886570664,25.640193641800344,0.5658126063904229,7457703.7,261589137.0,35.45,34.95,0.0936167019839545,0.0526621114206849,0.0286123032904148,0.0141043723554301,35.45,0.8693609947019048,35.758380147971344,35.165000000000056,34.57161985202877,1.1614646636593666,0.0337483377205339,88.46153846153861,85.89743589743618,35.42000000000007,35.30000000000018,266003599.0,244524109.1,-9.999999999999906,274.9999999999977,63.230122150076326,33.0,34.35,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-0.013,0.0356,0.0,13.95,0.16,0,False,0,True,True,True,False,1.5202609886472158,True,True,True,True,True,True,False,False,False,True,False,False,True,True,False,False,True,True,-20.0,-25.0,-1.3908205841446453,25.0,0.658280083844939,False,False,True,False,False,False,False,-1.0,False,14,False,False,988.1019708926116,,5,False,3,False,False,False,False,"macd_golden_cross, volume_break, rsi_strong, breakout_20d, market_above_ma60, avoid_chase, liquidity_ok, hist_turn_positive, adx_trending, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",,,767.5,85.7,99.7,28.6,0.77,True,7,D
2026-09-23,13.15,13.25,13.05,13.15,363210,4774113,1103,嘉泥,,-0.0249181064062575,-0.0301870534779953,0.0052689470717377,13.151687174187485,13.240997623191744,13.356360855325082,49.1968021196012,20.61539898105555,0.1773496464430941,354093.8,4667758.75,13.35,13.0,-0.0510021882501292,-0.0533480519519624,0.0115384615384614,0.0038167938931297,13.1,1.198005309392867,13.34867962263283,13.160000000000014,12.9713203773672,0.4735000529986358,0.0286747146858381,50.00000000000022,45.833333333333336,13.160000000000036,13.105000000000064,-6339875.0,-7044366.4,-55.55555555555542,-10.05025125628129,53.34648575309301,13.2625,13.4,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-0.0254,-0.0473,0.0,4.43,-0.04,0,False,0,False,False,False,False,1.0257451556621435,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,True,True,0.0,0.0,1.5209125475285117,15.0,1.2142316735221923,False,False,False,False,False,False,False,-1.0,False,6,False,False,454.82823163888776,,5,False,3,False,True,False,True,"market_above_ma60, avoid_chase, adx_trending, kd_golden_cross, obv_uptrend, mfi_strong",,close_below_ema20,234.3,71.4,70.2,28.6,-0.03,True,7,D
2026-09-23,26.75,27.05,26.65,26.8,425606,11434668,1104,環泥,,-0.0491671267155631,0.0108068393217429,-0.059973966037306,26.892270274798456,27.08255544226027,27.588326990909664,47.59882821303442,12.939770152921453,0.3330288908415159,1033334.2,27790311.05,27.8,26.6,-0.0596412881680824,0.0007380696718811,0.0056285178236399,0.0075187969924812,26.6,0.3542779406461398,27.797782968506343,27.00250000000001,26.20721703149368,0.3726868246780551,0.0589043954083018,35.71428571428575,13.988095238095411,26.740000000000144,26.83000000000002,11687182.0,11274969.15,-80.76923076923077,-33.75751148815991,30.214333442293626,26.8,27.975,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-0.1418,-0.2197,0.0,14.05,-0.11,0,False,0,False,False,False,False,0.4118764287488017,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,0.0,0.0,3.731343283582089,0.0,0.1204231092105762,False,False,False,True,False,False,False,-1.0,False,4,True,False,220.56384159801493,,3,False,3,False,True,False,True,"market_above_ma60, avoid_chase, kd_golden_cross, obv_uptrend",long_upper_shadow,close_below_ema20,0.0,57.1,20.5,28.6,-1.03,False,7,D
2026-09-23,11.15,11.15,11.05,11.05,175482,1945719,1108,幸福,,-0.239384372382359,-0.2381396259782017,-0.0012447464041572,11.347804945969992,12.036473610871576,12.80349550248173,23.48532283957131,55.63534473549534,0.1416702641809999,273705.05,3101344.45,11.8,11.05,-0.3969102838236311,-0.34418378465951,0.0,-0.0045045045045044,11.1,0.3410114563781028,11.952209746210212,11.392499999999997,10.832790253789778,0.1940378452233015,0.0982593366179885,28.57142857142886,29.72582972583041,11.10000000000009,11.125000000000046,-10333344.0,-9257692.65,-85.71428571428554,-74.87179487179468,26.74040094796453,12.2875,12.9,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-0.157,-0.0635,0.0,1.29,0.03,0,False,0,False,False,False,False,0.6411354120064646,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,10.0,12.0,6.787330316742081,0.0,-0.481602951583252,False,False,False,False,False,False,False,-1.0,False,3,False,False,197.6321187010656,,5,False,3,False,True,False,True,"market_above_ma60, avoid_chase, adx_trending",,close_below_ema20,-22.9,42.9,14.9,28.6,-0.66,False,7,D
2026-09-23,13.35,13.4,13.35,13.35,61788,825998,1109,信大,,-0.0783483522143004,-0.084765720511104,0.0064173682968035,13.448274204225363,13.765218240619523,14.204938131641804,37.83087741830106,31.045351182175903,0.1114918948912224,88774.9,1194103.0,13.75,13.35,-0.0667930155887416,-0.1475936836485516,-0.0037313432835821,0.0,13.35,0.7874944365244149,13.573934394313422,13.442499999999882,13.31106560568634,0.1481134162675079,0.0195550521574917,33.33333333333294,33.333333333332725,13.379999999999928,13.389999999999873,-7085209.0,-6801188.4,-83.33333333333363,-95.2380952380932,31.54498247922901,13.85,14.175,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-0.2647,-0.0802,0.0,2.33,-0.02,0,False,0,False,False,False,False,0.6960075426725347,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,12.0,2.996254681647943,8.0,-0.3655163809843715,False,False,False,False,False,False,False,-1.0,False,3,False,False,182.5738788549129,,5,False,3,False,True,False,True,"market_above_ma60, avoid_chase, adx_trending",,close_below_ema20,-38.0,14.3,12.3,28.6,-0.57,False,7,D
