date,open,high,low,close,volume,amount,stock_id,name,industry_category,macd,macd_signal,macd_hist,ema20,ema60,ema120,rsi14,adx14,atr14,volume_ma20,amount_ma20,close_20d_high,close_10d_low,lr_slope_20,lr_slope_60,return_5d,day_return,prev_close,prev_volume_ratio,bb_upper,bb_mid,bb_lower,bb_pct_b,bb_bandwidth,stoch_k,stoch_d,obv,obv_ma,williams_r,cci20,mfi14,ichi_senkou_a,ichi_senkou_b,market_ma60,market_above_ma60,market_return_5d,foreign_net,foreign_buy_streak,invest_trust_net,invest_trust_streak,dealer_net,dealer_buy_streak,relative_strength_5d,margin_change_5d,short_ratio,revenue_yoy,revenue_mom,revenue_3m_yoy,limit_down_streak,macd_golden_cross,hist_turn_positive,above_ema60,ema60_gt_ema120,volume_ratio,volume_break,rsi_strong,adx_trending,breakout_20d,avoid_chase,liquidity_ok,foreign_buy_3d,stronger_than_market,kd_golden_cross,obv_uptrend,invest_trust_buy_2d,dealer_buy_3d,bb_squeeze_breakout,breakout_volume_confirm,williams_r_recovery,cci_momentum,mfi_strong,above_ichimoku_cloud,long_upper_shadow,open_high_close_low,gap_chase_after_blowout,earnings_blocked,f_score,f_score_low,condition_count,skip_trade,entry_signal,entry_score,momentum_score,macd_death_cross,close_below_ema20,close_below_swing_low,base_exit_signal,entry_reason,skip_reason,base_exit_reason
2026-06-02,66.1,66.2,61.3,63.1,1701509,107921124,3257,虹冠電,,2.6947301350072195,1.4618249350824857,1.2329051999247338,58.95366987444052,57.55955706764041,59.00281076610875,60.48631333589733,19.73070677545399,3.290134992199601,1564452.2,96562028.7,68.8,52.8,1.0431000898460934,0.1174941959313309,0.0551839464882943,-0.0539730134932533,66.7,1.298539291151283,67.03282476694382,57.41999999999998,47.80717523305614,0.7954386529302062,0.3348249657591028,58.24742268041238,74.22680412371058,96379237.0,83684313.95,-41.75257731958762,105.4752444557163,80.27429355343617,55.175,62.2,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,False,False,True,False,1.0876068952442268,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,-1,False,7,False,False,445.8760689524423,,False,False,False,False,"above_ema60, rsi_strong, market_above_ma60, liquidity_ok, obv_uptrend, mfi_strong, above_ichimoku_cloud",,
2026-06-02,22.5,23.2,21.5,21.65,337687,7389602,3296,勝德,,-0.1067662445114976,-0.2874172893931472,0.1806510448816496,20.5043424286286,21.16573718167724,21.683438256121665,58.41216580620927,21.714998527484155,0.8468199443009006,194685.4,4088163.1,23.45,19.05,-0.4568185568009368,-0.164553731990368,0.0879396984924623,-0.0068807339449542,21.8,1.6458910389181574,23.121156748335693,20.69999999999991,18.278843251664128,0.6961872151923011,0.2339281882450041,62.65060240963852,70.37848363149533,6491539.0,7020301.2,-37.34939759036147,89.36925310533921,47.09973345472476,20.9625,22.9,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,False,False,True,False,1.7345265746686709,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,-1,False,5,True,False,312.3452657466867,,False,False,False,False,"above_ema60, volume_break, rsi_strong, market_above_ma60, adx_trending","open_high_close_low, gap_chase_after_blowout",
2026-06-02,21.45,21.45,20.7,21.35,253903,5330093,3308,聯德,,-0.0831261219756314,-0.237093976519938,0.1539678545443066,20.52382366581169,20.843924211712665,20.37239718739666,58.55473194351663,12.613815239879171,0.996541736452053,172377.05,3551531.2,21.35,19.4,-0.0981252489676361,-0.1904422763092793,0.0517241379310344,0.0118483412322274,21.1,1.7596171122556157,21.63227176260577,20.427500000000144,19.222728237394517,0.8828525985721611,0.1179558695489533,93.02325581395355,72.09302325581423,5530924.0,5317170.65,-5.263157894736789,97.6456009913258,53.55344360682947,21.9,23.35,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,False,False,True,True,1.472951300651682,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,-1,False,6,False,False,369.7295130065168,,False,False,False,False,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, obv_uptrend, mfi_strong",,
2026-06-02,168.0,168.0,155.0,157.5,10982260,1756090515,3305,昇貿,,12.419790305008348,10.708228275528551,1.711562029479797,143.78443201704687,126.09939816222342,116.67426296469203,65.21620469422584,42.90980719672272,9.783716097773464,14961735.4,2101624627.65,167.5,135.0,2.010290126318766,0.7133341121034877,-0.036697247706422,-0.0597014925373133,167.5,0.8760148209757164,174.3829268018556,140.475,106.5670731981444,0.7510474925153535,0.4827610151536659,63.07692307692308,74.90691956445396,470111380.0,447232204.2,-26.96629213483146,91.00384710140804,69.76639314228522,112.775,111.05,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,False,False,True,True,0.7340231401231705,False,True,True,False,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,-1,False,10,False,False,677.3402314012317,,False,False,False,False,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, avoid_chase, liquidity_ok, adx_trending, obv_uptrend, mfi_strong, above_ichimoku_cloud",,
2026-06-02,60.6,60.6,60.6,60.6,2777904,168340880,3312,弘憶股,,3.486378547498873,2.576645866844096,0.909732680654777,48.86877178193686,43.67672201079293,41.72672225932845,77.27012959417934,49.738930163416605,2.9580870453825368,4611812.85,224991588.15,55.1,45.3,1.3513851409205742,0.7942411225743135,0.1477272727272727,0.0998185117967331,55.1,1.442504970848828,56.83200427831659,47.94999999999991,39.06799572168323,1.2121140456373167,0.3704694172394867,100.0,85.9259259259258,145912364.0,123091488.45,-0.0,268.4354889756301,66.1348174486115,43.125,40.325,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,False,False,True,True,0.6023453445210813,False,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,-1,False,10,False,False,636.0234534452109,,False,False,False,False,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, obv_uptrend, mfi_strong, above_ichimoku_cloud",,
2026-06-02,35.9,37.0,35.0,36.75,1226942,44334599,3311,閎暉,,1.1420219190904175,0.6674789609956352,0.4745429580947825,33.866279676539065,32.824437599633384,32.7749796044948,69.33390822693542,30.328591471243524,1.5548502817116518,789757.2,27881188.9,36.45,31.0,0.8433723584404291,0.0883378768068419,0.0352112676056337,0.0222531293463141,35.95,1.4602416814453,37.16359111865889,33.225000000000094,29.28640888134129,0.9474950424912688,0.237085996608505,76.11940298507461,69.3645033197269,771944.0,-4164642.65,-20.6451612903226,114.81786342581374,73.74374303857374,32.625,32.55,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,False,False,True,True,1.5535686157720374,True,True,True,True,True,False,False,False,True,True,False,False,False,True,False,False,True,True,False,False,False,False,-1,False,13,False,False,890.5356861577204,,False,False,False,False,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, avoid_chase, adx_trending, kd_golden_cross, obv_uptrend, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",,
2026-06-02,88.7,88.7,87.8,88.7,6321020,560624178,3338,泰碩,,2.7827026305290445,2.0394613376376256,0.7432412928914189,75.66868999250444,69.16772589890896,63.68026538238021,69.23431687195767,37.324025773899606,4.222254189097019,2307914.85,177033472.7,80.7,72.5,0.5564336979852149,0.5765250308932561,0.131377551020408,0.0991325898389094,80.7,0.8005789024525048,83.31003963584807,74.79499999999989,66.2799603641517,1.3164964929499732,0.2276900764983808,100.0,73.16017316017314,47735564.0,41217575.6,-0.0,327.8675250010121,65.55915930332208,74.2,69.85,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,True,True,True,True,2.7388445461928543,True,True,True,True,False,True,False,False,False,True,False,False,True,True,False,False,True,True,False,False,False,False,-1,False,15,False,False,1032.3884454619283,,False,False,False,False,"macd_golden_cross, above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, hist_turn_positive, adx_trending, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",,
2026-06-02,62.6,62.7,61.0,62.4,1567606,96908150,3356,奇偶,,2.360981972686645,2.6593440430988804,-0.2983620704122356,60.75002124531922,55.676254542811336,52.66103459556007,60.16911359736181,45.71290713237485,2.2186155353701307,1608214.8,98904754.75,65.3,60.1,0.6201829520908184,0.5670867632410005,-0.0444104134762634,0.0032154340836012,62.2,0.5858196599685451,66.72053001052525,61.05999999999985,55.39946998947445,0.6183634745782197,0.1854087785956571,29.729729729729705,30.850080850080605,34886591.0,32428284.4,-66.66666666666663,27.09033506467064,41.95129484877797,51.5625,48.35,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,False,False,True,True,0.9747491442063584,False,True,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,-1,False,9,False,False,609.7474914420636,,False,False,False,False,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, avoid_chase, liquidity_ok, adx_trending, obv_uptrend, above_ichimoku_cloud",,
2026-06-02,20.1,21.1,20.05,20.75,1881011,38887288,3321,同泰,,0.9309257589757572,0.4161043493101254,0.5148214096656317,17.605763351620727,16.963420558036173,16.50015295207198,76.8727153078202,35.96626938975303,0.9310226223399384,758140.35,13883594.55,19.8,15.3,1.1270799137956444,0.1709419414113547,0.14010989010989,0.047979797979798,19.8,1.683833602445201,20.441511569985025,17.027500000000032,13.61348843001504,1.0451797575507824,0.400999743941857,94.11764705882352,86.02720367426264,8909748.0,2318808.3,-5.785123966942171,170.90479006505012,91.4423153390471,16.712500000000002,17.375,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,False,False,True,True,2.4810854612869506,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,-1,False,11,False,False,734.8108546128695,,False,False,False,False,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, adx_trending, obv_uptrend, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",,
2026-06-02,215.0,217.0,206.5,211.5,3929312,831351820,3376,新日興,,1.4829234126537472,0.9783884711844272,0.5045349414693199,208.34182739322517,207.2867250189616,208.2053411762544,52.590336986317006,14.418410787513665,11.060984639779036,5761227.2,1202875108.2,220.5,202.5,0.2276644249083931,0.0268546578781764,-0.0342465753424657,-0.0162790697674418,215.0,1.4968817207275436,220.9086822125388,206.975,193.0413177874612,0.6623763170057082,0.1346412099291105,40.81632653061224,33.97278911564596,23378384.0,27728958.85,-38.66666666666666,53.00036878984246,62.43333724818868,211.0,205.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,False,False,True,False,0.6820269125994545,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,-1,False,6,False,False,366.82026912599457,,False,False,False,False,"above_ema60, market_above_ma60, avoid_chase, liquidity_ok, mfi_strong, above_ichimoku_cloud",,
