date,open,high,low,close,volume,amount,stock_id,name,industry_category,macd,macd_signal,macd_hist,ema20,ema60,ema120,rsi14,adx14,atr14,volume_ma20,amount_ma20,close_20d_high,close_10d_low,lr_slope_20,lr_slope_60,return_5d,day_return,prev_close,prev_volume_ratio,bb_upper,bb_mid,bb_lower,bb_pct_b,bb_bandwidth,stoch_k,stoch_d,sma5,sma10,obv,obv_ma,williams_r,cci20,mfi14,ichi_senkou_a,ichi_senkou_b,market_ma60,market_above_ma60,market_return_5d,foreign_net,foreign_buy_streak,invest_trust_net,invest_trust_streak,dealer_net,dealer_buy_streak,relative_strength_5d,margin_change_5d,short_ratio,revenue_yoy,revenue_mom,revenue_3m_yoy,foreign_holding_pct,foreign_holding_chg5d,insider_net_30d,has_buyback,limit_down_streak,macd_golden_cross,hist_turn_positive,above_ema60,ema60_gt_ema120,volume_ratio,volume_break,rsi_strong,adx_trending,breakout_20d,avoid_chase,liquidity_ok,foreign_buy_3d,stronger_than_market,kd_golden_cross,obv_uptrend,invest_trust_buy_2d,dealer_buy_3d,bb_squeeze_breakout,breakout_volume_confirm,williams_r_recovery,cci_momentum,mfi_strong,ma5_above_ma10,above_ichimoku_cloud,long_upper_shadow,open_high_close_low,gap_chase_after_blowout,earnings_blocked,f_score,f_score_low,condition_count,skip_trade,entry_signal,entry_score,momentum_score,macd_death_cross,close_below_ema20,close_below_swing_low,base_exit_signal,entry_reason,skip_reason,base_exit_reason,sector_rs,sector_rs_rank,market_rs_rank,sector_breadth_60,sector_vol_zscore,is_sector_leader,sector_stock_count,grade
2026-06-12,15.4,15.65,15.4,15.45,121867,1886474,1110,東泥,,0.2020752150087457,0.0948782791480678,0.1071969358606779,15.07973144785983,15.1513948755733,15.587433696725006,58.10218574887086,29.31634335065109,0.4704205426607265,369239.15,5584087.8,16.0,14.5,0.7010900385752926,-0.0519070681605197,-0.034375,0.0032467532467532,15.4,0.5025016306158837,16.25029658035739,14.77499999999991,13.29970341964243,0.728767560701771,0.1997017367658191,39.99999999999998,39.867724867724974,15.409999999999672,15.409999999999854,3868579.0,2521640.3,-53.73134328358211,75.53366174055816,72.00312939044633,15.2375,15.525,89332.1238333333,True,-0.0184489848789158,5000.0,3.0,0.0,0.0,10000.0,2.0,-0.0159260151210841,0.0,0.0,-0.1065,-0.0164,0.0,5.82,0.0,0,False,0,False,False,True,False,0.3300489669093865,False,True,True,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,-1.0,False,9,True,False,598.3004896690938,9.7,False,False,False,False,"above_ema60, rsi_strong, market_above_ma60, avoid_chase, foreign_buy_3d, adx_trending, kd_golden_cross, obv_uptrend, mfi_strong",long_upper_shadow,,-45.1,42.9,57.2,71.4,-1.7,False,7,D
2026-06-12,12.4,12.5,12.35,12.5,347164,4308681,1201,味全,,-0.0290700650974358,-0.0910641571578676,0.0619940920604318,12.344181786220233,12.778553042521876,13.41870563293023,54.046866388781865,30.66397234786397,0.2381757935113354,557677.85,6820225.4,12.55,12.1,0.2110669525486457,-0.2304275813288773,0.0040160642570281,0.0080645161290322,12.4,0.5818543140979011,12.60969358425648,12.232500000000003,11.855306415743527,0.8545924575139455,0.0616707270396854,61.53846153846156,58.012820512820326,12.36999999999989,12.39000000000001,-17938516.0,-18107196.05,-31.24999999999997,98.60191317145006,77.39707425336756,12.775,13.475,89332.1238333333,True,-0.0184489848789158,58000.0,1.0,0.0,0.0,-3000.0,0.0,0.022465049135944,0.0,0.0,-0.0508,0.0177,0.0,5.0,-0.03,0,False,0,False,False,False,False,0.6225171037365032,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,-1.0,False,6,False,False,481.225171037365,13.7,False,False,False,False,"market_above_ma60, avoid_chase, adx_trending, stronger_than_market, obv_uptrend, mfi_strong",,,-69.9,43.5,41.3,52.2,-0.38,False,23,D
2026-06-12,55.4,55.8,54.5,55.3,4658995,256982650,1210,大成,,0.590119113659469,0.2525547191262108,0.3375643945332581,53.8144620183938,53.29041829614047,53.23899146310951,65.30535028409007,25.42507422001356,1.0557995374492464,5362441.75,289271285.9,55.7,52.5,0.2900166003887979,-0.030764396967771,0.0165441176470588,-0.007181328545781,55.7,1.3306525549508772,55.761735771360144,53.36999999999998,50.97826422863982,0.9034726626391592,0.089628471851608,83.72093023255806,87.596899224806,54.979999999999926,54.25,-15270103.0,-50518029.45,-15.90909090909098,122.4852728687339,79.14746408117217,53.475,53.1,89332.1238333333,True,-0.0184489848789158,-2043670.0,0.0,1692000.0,9.0,13364.0,3.0,0.0349931025259747,0.0,0.0,0.1016,-0.0036,0.0,8.53,-1.3,0,False,0,False,False,True,True,0.8688196939388666,False,True,True,False,True,True,False,True,False,True,True,True,False,False,False,False,True,True,True,True,False,False,False,-1.0,False,13,True,False,1013.6881969393888,15.6,False,False,False,False,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, avoid_chase, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, invest_trust_buy_2d, dealer_buy_3d, mfi_strong, above_ichimoku_cloud",long_upper_shadow,,462.5,100.0,95.6,52.2,0.01,True,23,D
2026-06-12,42.75,43.0,42.75,42.8,17791,761139,1203,味王,,0.0182074502045992,0.1205145063339355,-0.1023070561293362,42.73710658589994,42.102876640629134,41.26780894606785,51.08312146663452,23.725360181862072,0.904156883530087,25392.9,1078363.35,44.15,41.7,0.1395284214521732,0.1658743661136176,-0.001166861143524,0.0011695906432747,42.75,1.3641746667674557,44.4086658214676,42.61750000000002,40.82633417853245,0.5509444736530442,0.0840577613171852,54.99999999999995,41.08465608465607,42.32000000000007,42.93999999999996,710806.0,671450.45,-46.875000000000064,26.749772756784875,53.78731961306438,42.5375,40.925,89332.1238333333,True,-0.0184489848789158,2000.0,2.0,0.0,0.0,1001.0,2.0,0.0172821237353918,0.0,0.0,-0.1005,-0.0115,0.0,1.73,0.0,0,False,0,False,False,True,True,0.7006289159568225,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,-1.0,False,9,True,False,612.0062891595683,13.3,False,False,False,False,"above_ema60, ema60_gt_ema120, market_above_ma60, avoid_chase, adx_trending, stronger_than_market, obv_uptrend, mfi_strong, above_ichimoku_cloud",long_upper_shadow,,60.8,56.5,58.9,52.2,-0.26,False,23,D
2026-06-12,8.31,8.6,8.31,8.6,13174,109824,1213,大飲,,-0.156527124732519,-0.3000952601249371,0.143568135392418,8.040735992765358,8.536202672401332,9.057887291809925,51.76984747321264,10.194770820648897,1.1609430483528709,16728.2,138186.45,8.9,0.0,,,0.0201660735468565,0.033653846153846,8.32,0.4236085689823653,11.646281132747198,7.97749999999994,4.308718867252683,0.5848374402119102,0.9197821705414692,97.17514124293784,95.36723163841695,8.43199999999997,7.6159999999999854,-304625.0,-302332.55,-2.824858757062147,45.89321378193035,45.96597251494204,6.882499999999999,5.2,89332.1238333333,True,-0.0184489848789158,0.0,0.0,0.0,0.0,0.0,0.0,0.0386150584257724,0.0,0.0,0.143,-0.101,0.0,0.01,0.0,0,False,0,False,False,True,False,0.7875324302674526,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,-1.0,False,5,False,False,432.8753243026745,33.5,False,False,False,False,"above_ema60, market_above_ma60, avoid_chase, stronger_than_market, above_ichimoku_cloud",,,-118.3,34.8,34.1,52.2,-0.12,False,23,D
2026-06-12,117.5,118.0,117.0,118.0,1080999,127182661,1215,卜蜂,,-6.220365200861664,-5.66623044884531,-0.5541347520163544,124.49334733532572,134.186600029195,137.18544421216504,33.43798515005278,40.68071773525183,3.916321670234815,3223791.9,400005154.75,144.0,114.0,-1.4045890581831173,-0.3431984430233644,-0.0084033613445377,0.004255319148936,117.5,0.9849838270324084,150.72300637985927,127.525,104.32699362014073,0.2947021859544427,0.3638189591038505,61.11111111111112,45.53166069295124,116.7,117.15,13139196.0,21987567.15,-82.8125,-62.50817313979336,42.22954390359683,139.875,148.5,89332.1238333333,True,-0.0184489848789158,-368010.0,0.0,224000.0,1.0,-6587.0,0.0,0.0100456235343781,0.0,0.0,0.0165,0.0742,0.0,37.68,1.05,0,False,0,False,False,False,False,0.3353191004667516,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.0,False,5,False,False,423.3531910046675,14.0,False,True,False,True,"market_above_ma60, avoid_chase, liquidity_ok, adx_trending, stronger_than_market",,close_below_ema20,-127.8,26.1,32.3,52.2,-0.83,False,23,D
2026-06-12,75.6,76.7,75.6,76.5,14052495,1072906317,1216,統一,,0.7859133734588397,0.4435956660085875,0.3423177074502522,73.56278536127707,72.86532161106409,73.47728203134807,65.54302455340495,17.376307782184966,1.4844208707381337,17391994.05,1270594110.65,75.7,71.8,0.1656663216067807,0.0687957164615643,0.0365853658536585,0.011904761904762,75.6,0.829954166366426,76.53638357251384,73.21999999999989,69.90361642748593,0.9945145711106238,0.0905868225215504,95.74468085106378,93.8196555217831,74.7,74.20999999999985,-69237221.0,-149883944.15,-2.9850746268657127,165.65321540445902,80.83226586950751,70.725,72.25,89332.1238333333,True,-0.0184489848789158,6307069.0,7.0,-70540.0,0.0,83941.0,3.0,0.0550343507325744,0.0,0.0,0.027,0.0296,0.0,31.71,0.3,0,False,0,False,False,True,False,0.8079864194755747,False,True,False,True,True,True,True,True,False,True,False,True,False,False,False,False,True,True,True,False,False,False,False,-1.0,False,12,False,False,933.0798641947556,18.7,False,False,False,False,"above_ema60, rsi_strong, breakout_20d, market_above_ma60, avoid_chase, liquidity_ok, foreign_buy_3d, stronger_than_market, obv_uptrend, dealer_buy_3d, mfi_strong, above_ichimoku_cloud",,,381.9,95.7,91.7,52.2,-0.09,True,23,D
2026-06-12,9.9,9.9,9.84,9.87,443749,4378215,1217,愛之味,,0.0254029372211395,-0.0087381079813692,0.0341410452025087,9.79729326096192,9.929020619726446,10.124282940625204,54.9273473320075,25.64288875802795,0.1210170950494583,847764.85,8255805.5,10.0,9.72,0.3544801990834881,-0.1306773493380822,-0.0050403225806452,0.0010141987829614,9.86,0.7747431777220285,10.135779323507116,9.693499999999997,9.251220676492872,0.6995345369080564,0.0912527618521943,36.111111111110894,41.10985985986008,9.860000000000037,9.888000000000057,-13565490.0,-15439710.8,-33.82352941176478,59.97633272721985,76.33895912215218,9.972499999999998,10.185,89332.1238333333,True,-0.0184489848789158,-50169.0,0.0,0.0,0.0,-3000.0,0.0,0.0134086622982706,0.0,0.0,-0.1461,-0.0512,0.0,7.94,0.07,0,False,0,False,False,False,False,0.523434063113138,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,-1.0,False,6,False,False,425.2343406311314,11.4,False,False,False,False,"market_above_ma60, avoid_chase, adx_trending, stronger_than_market, obv_uptrend, mfi_strong",,,-125.9,30.4,32.8,52.2,-0.54,False,23,D
2026-06-12,18.05,18.05,17.85,18.0,2991793,53764693,1218,泰山,,0.0409117740077142,0.0836659693844851,-0.0427541953767708,18.988449881812286,18.89478958328703,18.83105832599477,31.42565453414352,23.8776822863353,0.354630049450586,1229877.0,23326407.95,19.6,18.75,0.2356660274961992,-0.0369441083570164,-0.0697674418604651,-0.0625,19.2,2.7476062071933463,19.84268042910716,18.889999999999965,17.93731957089277,0.0328968808386089,0.1008661121341657,8.333333333333268,41.17063492063547,19.06999999999989,19.25,-2404650.0,1660183.75,-91.66666666666671,-136.84871311989937,43.40330132037921,18.9875,18.675,89332.1238333333,True,-0.0184489848789158,-1360000.0,0.0,0.0,0.0,8000.0,3.0,-0.0513184569815492,0.0,0.0,-0.0142,-0.0277,0.0,3.69,-0.41,0,False,0,False,False,False,True,2.43259529204953,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,-1.0,False,6,False,False,394.3259529204953,31.6,True,True,True,True,"ema60_gt_ema120, volume_break, market_above_ma60, avoid_chase, adx_trending, dealer_buy_3d",,"macd_death_cross, close_below_ema20, close_below_swing_low",-156.8,21.7,27.4,52.2,2.45,False,23,D
2026-06-12,12.45,12.55,12.4,12.5,363311,4528705,1219,福壽,,-0.1724429198479971,-0.1931896698114255,0.0207467499634284,12.714358821212434,13.11933916320939,13.357878673791886,37.83751721194832,33.10296917671001,0.2371188199429346,558778.6,7044475.4,13.0,12.45,0.0557914886990318,-0.2291223212350227,-0.0384615384615384,0.0,12.5,0.3435589982596226,12.957568486731518,12.592499999999973,12.227431513268428,0.3733114424253316,0.0579818918771563,36.84210526315788,36.84210526315837,12.489999999999965,12.679999999999971,-17297714.0,-18772174.0,-63.15789473684212,-47.73082942096942,77.63683319560904,13.775000000000002,14.075,89332.1238333333,True,-0.0184489848789158,74000.0,1.0,0.0,0.0,-10000.0,0.0,-0.0200125535826225,0.0,0.0,-0.0686,-0.0873,0.0,5.53,0.03,0,False,0,False,False,False,False,0.6501877487792124,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,-1.0,False,5,False,False,341.5018774877921,7.3,False,True,False,True,"market_above_ma60, avoid_chase, adx_trending, obv_uptrend, mfi_strong",,close_below_ema20,-209.7,17.4,19.9,52.2,-0.34,False,23,D
