date,open,high,low,close,volume,amount,stock_id,name,industry_category,macd,macd_signal,macd_hist,ema20,ema60,ema120,rsi14,adx14,atr14,volume_ma20,amount_ma20,close_20d_high,close_10d_low,lr_slope_20,lr_slope_60,return_5d,day_return,prev_close,prev_volume_ratio,bb_upper,bb_mid,bb_lower,bb_pct_b,bb_bandwidth,stoch_k,stoch_d,sma5,sma10,obv,obv_ma,williams_r,cci20,mfi14,ichi_senkou_a,ichi_senkou_b,market_ma60,market_above_ma60,market_return_5d,foreign_net,foreign_buy_streak,invest_trust_net,invest_trust_streak,dealer_net,dealer_buy_streak,relative_strength_5d,margin_change_5d,short_ratio,revenue_yoy,revenue_mom,revenue_3m_yoy,foreign_holding_pct,foreign_holding_chg5d,insider_net_30d,has_buyback,limit_down_streak,macd_golden_cross,hist_turn_positive,above_ema60,ema60_gt_ema120,volume_ratio,volume_break,rsi_strong,adx_trending,breakout_20d,avoid_chase,liquidity_ok,foreign_buy_3d,stronger_than_market,kd_golden_cross,obv_uptrend,invest_trust_buy_2d,dealer_buy_3d,bb_squeeze_breakout,breakout_volume_confirm,williams_r_recovery,cci_momentum,mfi_strong,ma5_above_ma10,above_ichimoku_cloud,long_upper_shadow,open_high_close_low,gap_chase_after_blowout,earnings_blocked,f_score,f_score_low,condition_count,skip_trade,entry_signal,entry_score,momentum_score,macd_death_cross,close_below_ema20,close_below_swing_low,base_exit_signal,entry_reason,skip_reason,base_exit_reason,sector_rs,sector_rs_rank,market_rs_rank,sector_breadth_60,sector_vol_zscore,is_sector_leader,sector_stock_count
2026-06-12,55.4,55.8,54.9,55.4,157520,8705857,6591,動力-KY,,-0.0953041938369239,-0.0657348279278138,-0.02956936590911,56.21287878353797,58.41542565048429,62.331568726382095,46.71509235069598,22.268566706759945,1.9191370720272696,399399.2,22446566.7,59.1,54.4,0.4548741867447666,-0.2166265155254144,-0.0415224913494809,0.0183823529411764,54.4,0.5321950244743289,60.27195413704332,55.59500000000007,50.91804586295682,0.4791530989735822,0.1682508908010878,27.58620689655173,20.114942528735508,55.86000000000058,57.25,58150984.0,57093447.1,-72.41379310344827,-4.866996727364373,67.42476152809378,58.175,61.55,89332.1238333333,True,-0.0184489848789158,-6363.0,0.0,0.0,0.0,-668.0,0.0,-0.023073506470565,0.0,0.0,-0.6269,-0.2937,0.0,19.45,-0.34,0,False,0,False,False,False,False,0.3943923773507808,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,-1.0,False,6,False,False,373.94392377350783,9.2,True,True,False,True,"market_above_ma60, avoid_chase, adx_trending, kd_golden_cross, obv_uptrend, mfi_strong",,"macd_death_cross, close_below_ema20",,,,,,,
2026-06-12,183.0,184.0,171.0,171.5,879142,154526559,6658,聯策,,5.89906589951795,13.780788518978362,-7.881722619460412,186.96307751061389,149.8764368124001,117.15831816510676,44.8915197891732,40.647494296130375,14.616077508776335,1494860.55,298613011.55,233.0,175.0,-0.4302115774969154,2.4281334805868573,-0.0877659574468084,-0.02,175.0,0.4752726153461691,234.39087230040224,196.975,159.55912769959772,0.1595696099843955,0.3799047828445465,9.195402298850574,11.85397073518834,179.9,190.3,62710252.0,66721341.35,-94.96855345911948,-93.2786044125191,41.16807900429447,125.375,110.25,89332.1238333333,True,-0.0184489848789158,27744.0,3.0,0.0,0.0,-239031.0,0.0,-0.0693169725678926,0.0,0.0,-0.028,0.2441,0.0,4.3,0.41,0,False,0,False,False,True,True,0.5881097069556086,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,-1.0,False,8,True,False,570.8810970695561,12.8,False,True,True,True,"above_ema60, ema60_gt_ema120, market_above_ma60, avoid_chase, liquidity_ok, foreign_buy_3d, adx_trending, above_ichimoku_cloud",open_high_close_low,"close_below_ema20, close_below_swing_low",,,,,,,
2026-06-12,38.7,39.05,38.0,38.05,398642,15317037,6668,中揚光,,0.1842148463972535,0.4914930751556969,-0.3072782287584434,38.28680538005443,37.42837039751655,37.58454849312855,49.7922032030588,26.71884551146981,1.970741849146756,900196.05,35621916.6,41.05,36.05,-0.246901165646855,0.2993673761983849,-0.0243589743589743,-0.0052287581699347,38.25,0.6089603089248637,41.324675216239015,38.96749999999975,36.61032478376048,0.305381459621919,0.1209815983185621,53.1531531531531,48.94894894894848,37.56999999999971,38.41999999999971,14567643.0,14560066.35,-59.86394557823136,-57.76784504943799,66.74830140070594,37.1625,37.375,89332.1238333333,True,-0.0184489848789158,-33000.0,0.0,0.0,0.0,-1000.0,0.0,-0.0059099894800584,0.0,0.0,0.121,0.1172,0.0,9.73,-0.35,0,False,0,False,False,True,False,0.4428390904403546,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,-1.0,False,7,False,False,519.4283909044036,14.4,False,True,False,True,"above_ema60, market_above_ma60, avoid_chase, adx_trending, obv_uptrend, mfi_strong, above_ichimoku_cloud",,close_below_ema20,,,,,,,
2026-06-12,18.4,18.6,18.25,18.35,28000,514200,6641,基士德-KY,,-0.0744606405621688,-0.0656532145148127,-0.008807426047356,18.39683580503514,18.78679867731576,19.427869305846308,48.49490328340741,19.87968210284658,0.47916801026049,40023.95,736610.5,19.05,18.1,0.0098197313180795,-0.0300649036319738,-0.0213333333333332,0.0138121546961325,18.1,0.7450368399508801,18.798246485917726,18.36250000000009,17.926753514082453,0.4856567976976746,0.0474604749808179,28.57142857142868,22.772657450076924,18.22000000000008,18.42000000000008,1198893.0,1147854.25,-60.60606060606053,6.750049632720216,51.30876715655016,19.225,20.575000000000003,89332.1238333333,True,-0.0184489848789158,-2000.0,0.0,0.0,0.0,6000.0,3.0,-0.0028843484544173,0.0,0.0,0.1839,-0.1649,0.0,30.0,-0.04,0,False,0,False,False,False,False,0.6995811258009268,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,False,-1.0,False,6,True,False,436.99581125800927,11.0,False,True,False,True,"market_above_ma60, avoid_chase, kd_golden_cross, obv_uptrend, dealer_buy_3d, mfi_strong",long_upper_shadow,close_below_ema20,,,,,,,
2026-06-12,5120.0,5135.0,4845.0,4850.0,1921274,9468055405,6669,緯穎,,63.212111631874905,166.6038024356345,-103.3916908037596,5193.052255933441,4786.718709716269,4408.826830554777,43.40036560650229,22.72569235659354,323.8381835012992,2067745.25,10917267836.25,5660.0,4900.0,0.0169561522786551,0.907747664750633,-0.1431095406360424,-0.010204081632653,4900.0,1.409812250178828,5809.243954365224,5266.5,4723.7560456347765,0.1163015758626685,0.2061118216520359,10.552763819095478,10.373706731301354,5078.0,5321.0,50500095.0,55289210.25,-90.0,-100.8345718532068,42.57514273605939,4432.5,4175.0,89332.1238333333,True,-0.0184489848789158,-314349.0,0.0,-177022.0,0.0,49437.0,2.0,-0.1246605557571265,0.0,0.0,0.1816,0.0159,0.0,30.22,-0.65,0,False,0,False,False,True,True,0.9291637835947152,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,-1.0,False,8,True,False,564.2916378359471,10.0,False,True,True,True,"above_ema60, ema60_gt_ema120, market_above_ma60, avoid_chase, liquidity_ok, adx_trending, kd_golden_cross, above_ichimoku_cloud",open_high_close_low,"close_below_ema20, close_below_swing_low",,,,,,,
2026-06-12,219.0,228.0,218.5,221.0,3491154,777399003,6672,騰輝電子-KY,,8.264948515089372,8.988380473316989,-0.7234319582276161,212.22428602828217,184.25214892396,154.8114076198963,58.27472581000394,26.824208221611013,12.568698326938524,5361496.35,1134271685.4,230.0,213.5,1.1569719785649686,1.1139906058033926,0.0091324200913243,0.0351288056206089,213.5,0.6886951697644927,241.7430022849018,208.7,175.6569977150982,0.6861211020407216,0.3166555082405539,67.14285714285714,57.619047619047706,220.0,219.35,113576300.0,106228679.45,-32.857142857142854,69.79601867780778,66.0779896947492,199.625,163.8,89332.1238333333,True,-0.0184489848789158,973989.0,1.0,-1000.0,0.0,64696.0,1.0,0.0275814049702401,0.0,0.0,0.3499,0.04,0.0,19.04,2.19,0,False,0,False,False,True,True,0.651152919277843,False,True,True,False,True,True,False,True,True,True,False,False,False,False,False,False,True,True,True,True,False,False,False,-1.0,False,12,True,False,956.5115291927784,20.2,False,False,False,False,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, avoid_chase, liquidity_ok, adx_trending, stronger_than_market, kd_golden_cross, obv_uptrend, mfi_strong, above_ichimoku_cloud",long_upper_shadow,,,,,,,,
2026-06-12,17.15,17.5,17.15,17.2,10000,172600,6674,鋐寶科技,,-0.1909434974936594,-0.1248175589854999,-0.0661259385081595,17.77160545929128,18.28418556536403,19.04820041621862,41.07953107765963,19.026713862494766,0.6250194332034194,45305.0,801618.8,18.45,17.15,0.1234820157368036,-0.1091826256905785,-0.0652173913043477,0.0029154518950438,17.15,0.3200054577879543,18.84430413729788,17.694999999999936,16.545695862701994,0.2846523022340715,0.1299015696296068,25.0,28.0303030303027,17.309999999999853,17.804999999999836,3240769.0,3260970.55,-75.0,-56.76453655728305,47.26728343731176,18.9125,19.225,89332.1238333333,True,-0.0184489848789158,-1000.0,0.0,0.0,0.0,0.0,0.0,-0.0467684064254318,0.0,0.0,-0.2352,0.0274,0.0,0.49,-0.03,0,False,0,False,False,False,False,0.2207261891623441,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-1.0,False,2,True,False,62.207261891623446,5.9,False,True,False,True,"market_above_ma60, avoid_chase",long_upper_shadow,close_below_ema20,,,,,,,
2026-06-12,68.4,68.4,67.2,67.2,148822,10069670,6689,伊雲谷,,0.0050352497537318,0.1216393525559659,-0.1166041028022341,69.20253451626128,69.42164404624404,69.50315312015415,44.232924478337765,16.35415918657088,2.9658308764325643,440742.5,31219563.5,74.3,65.0,0.4457640546301728,-0.2981223490067958,-0.0857142857142856,0.0059880239520959,66.8,0.7896281754750011,75.07087578642495,68.40499999999993,61.73912421357492,0.4096142773576804,0.1948944020590606,10.810810810810842,16.497228795615836,68.84000000000015,71.05,13796535.0,13404356.85,-74.99999999999996,-20.90960865674076,60.06906823691533,71.375,72.95,89332.1238333333,True,-0.0184489848789158,4190.0,3.0,0.0,0.0,-208.0,0.0,-0.0672653008353697,0.0,0.0,-0.0027,0.0042,0.0,4.64,0.3,0,False,0,False,False,False,False,0.3376620135339795,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,-1.0,False,5,True,False,328.3766201353398,6.6,True,True,False,True,"market_above_ma60, avoid_chase, foreign_buy_3d, obv_uptrend, mfi_strong",open_high_close_low,"macd_death_cross, close_below_ema20",,,,,,,
2026-06-12,643.0,699.0,643.0,689.0,2694592,1832218305,6691,洋基工程,,3.498488262111209,1.191040049249549,2.30744821286166,642.8372648631511,631.438545840923,603.7985136595036,63.3503716479911,12.251619460256414,27.216564558698074,687021.45,445189343.05,674.0,617.0,0.1919554447487375,0.1357744519522961,0.073208722741433,0.0816326530612245,637.0,1.2622274410090286,675.391480214368,639.45,603.5085197856321,1.1893149601027262,0.1124137312201672,90.8256880733945,68.8033678859368,642.4,642.6,35346142.0,32835039.85,-9.174311926605505,192.65278483155555,57.94837119236202,643.25,630.0,89332.1238333333,True,-0.0184489848789158,1542863.0,4.0,-2000.0,0.0,60522.0,4.0,0.0916577076203489,0.0,0.0,0.8236,0.3417,0.0,17.27,1.37,0,False,0,True,True,True,True,3.922136637800756,True,True,False,True,False,True,True,True,False,True,False,True,True,True,False,True,True,False,True,False,False,False,False,-1.0,False,18,False,False,1439.2213663780076,67.2,False,False,False,False,"macd_golden_cross, above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, hist_turn_positive, foreign_buy_3d, stronger_than_market, obv_uptrend, dealer_buy_3d, bb_squeeze_breakout, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",,,,,,,,,
2026-06-12,51.0,51.4,50.3,50.3,557687,28339165,6695,芯鼎,,0.3243853528221194,1.5677316113937565,-1.243346258571637,52.74444983254219,49.22533657602119,47.14452377176545,46.204281167215576,25.57560212782932,3.379259928093412,2641418.85,153649127.15,64.0,49.5,-0.3453632928507623,0.7338535549443755,-0.0473484848484848,0.0151362260343088,49.55,0.3685558905115098,63.30196223831584,54.51000000000003,45.71803776168423,0.2605767696742003,0.3225816267956631,25.85365853658536,24.789848695379987,50.52999999999993,52.80499999999993,102104077.0,102811741.3,-87.22891566265062,-68.89455745857542,48.32629588594579,45.5125,44.325,89332.1238333333,True,-0.0184489848789158,53260.0,1.0,0.0,0.0,-1000.0,0.0,-0.0288994999695689,0.0,0.0,-0.2548,0.0061,0.0,2.74,0.0,0,False,0,False,False,True,True,0.2111316045162621,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,-1.0,False,8,True,False,502.11131604516254,13.2,False,True,False,True,"above_ema60, ema60_gt_ema120, market_above_ma60, avoid_chase, liquidity_ok, adx_trending, kd_golden_cross, above_ichimoku_cloud",open_high_close_low,close_below_ema20,,,,,,,
