date,open,high,low,close,volume,amount,stock_id,name,industry_category,macd,macd_signal,macd_hist,ema20,ema60,ema120,rsi14,adx14,atr14,volume_ma20,amount_ma20,close_20d_high,close_10d_low,lr_slope_20,lr_slope_60,return_5d,day_return,prev_close,prev_volume_ratio,bb_upper,bb_mid,bb_lower,bb_pct_b,bb_bandwidth,stoch_k,stoch_d,obv,obv_ma,williams_r,cci20,mfi14,ichi_senkou_a,ichi_senkou_b,market_ma60,market_above_ma60,market_return_5d,foreign_net,foreign_buy_streak,invest_trust_net,invest_trust_streak,dealer_net,dealer_buy_streak,relative_strength_5d,margin_change_5d,short_ratio,revenue_yoy,revenue_mom,revenue_3m_yoy,foreign_holding_pct,foreign_holding_chg5d,insider_net_30d,has_buyback,limit_down_streak,macd_golden_cross,hist_turn_positive,above_ema60,ema60_gt_ema120,volume_ratio,volume_break,rsi_strong,adx_trending,breakout_20d,avoid_chase,liquidity_ok,foreign_buy_3d,stronger_than_market,kd_golden_cross,obv_uptrend,invest_trust_buy_2d,dealer_buy_3d,bb_squeeze_breakout,breakout_volume_confirm,williams_r_recovery,cci_momentum,mfi_strong,above_ichimoku_cloud,long_upper_shadow,open_high_close_low,gap_chase_after_blowout,earnings_blocked,f_score,f_score_low,condition_count,skip_trade,entry_signal,entry_score,momentum_score,macd_death_cross,close_below_ema20,close_below_swing_low,base_exit_signal,entry_reason,skip_reason,base_exit_reason,sector_rs,sector_rs_rank,market_rs_rank,sector_breadth_60,sector_vol_zscore,is_sector_leader,sector_stock_count
2026-06-11,182.0,184.5,178.0,182.0,418055,75333899,2072,世紀風電,,1.0827305688274862,-0.787279504255271,1.870010073082757,180.19309810318447,193.19624378388176,214.2816527753756,51.195558589636015,19.697691724668584,8.573933636216982,740640.6,133437024.05,199.0,166.5,0.5171136048178376,-0.3399797157117207,-0.085427135678392,0.0,182.0,0.6543194719448213,195.353705829294,176.8,158.24629417070605,0.6401337298285135,0.2098835501051353,32.432432432432435,38.761469627743885,-11306186.0,-10840389.45,-57.47126436781609,46.79059421671431,63.185020054056025,180.125,245.5,88935.62383333333,True,-0.0540055389902732,-27839.0,0.0,0.0,0.0,1000.0,3.0,-0.0314215966881187,0.0,0.0,0.8109,-0.0581,0.0,2.06,-0.04,0,False,0,False,False,False,False,0.5644505580709456,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,-1.0,False,5,False,False,340.64450558070945,9.9,False,False,False,False,"market_above_ma60, avoid_chase, liquidity_ok, dealer_buy_3d, mfi_strong",,,,,,,,,
2026-06-11,6090.0,6540.0,6090.0,6400.0,634094,4023529860,2059,川湖,,503.8022182057284,384.1822587342592,119.6199594714692,5457.998455663504,4612.2508566778215,4098.591347321565,68.84884615310538,35.54002184509517,407.7166650702623,594296.95,3319378756.5,6795.0,4700.0,1.7591590087599764,1.0985316429715464,0.1962616822429905,0.0047095761381474,6370.0,1.627493889813197,6569.537317597438,5280.75,3991.9626824025618,0.934226029662718,0.4881076807640726,75.38860103626943,83.58481823160218,23029875.0,19446076.75,-21.01769911504425,149.70588919113726,67.12873924017015,3926.25,3707.5,88935.62383333333,True,-0.0540055389902732,280.0,3.0,38012.0,4.0,-8477.0,0.0,0.2502672212332638,0.0,0.0,1.7205,0.4605,0.0,24.22,-0.18,0,False,0,False,False,True,True,1.0669649238482548,False,True,True,False,False,True,True,True,False,True,True,False,False,False,False,False,True,True,False,False,False,False,-1.0,False,12,False,False,1005.6696492384826,40.9,False,False,False,False,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, invest_trust_buy_2d, mfi_strong, above_ichimoku_cloud",,,,,,,,,
2026-06-11,210.5,214.0,201.0,208.5,24496116,5069166500,2301,光寶科,,7.186077425613178,11.72772064425619,-4.541643218643012,220.02072203491616,197.9540037431542,181.9446506104826,46.75737862910593,28.501539874727293,14.704158052908332,39015407.55,8909759450.8,250.0,213.0,0.4616168448258926,0.8792816912344785,-0.1609657947686117,-0.0211267605633802,213.0,0.9340431027981588,254.09556223080776,223.325,192.55443776919225,0.2591041741649253,0.2755675560802218,13.043478260869565,19.23455747854253,622679328.0,677446639.05,-87.70491803278688,-78.3586701273018,57.982119986589765,168.5,169.75,88935.62383333333,True,-0.0540055389902732,102123.0,1.0,57404.0,1.0,331859.0,1.0,-0.1069602557783384,0.0,0.0,0.2956,0.0395,0.0,40.44,-0.21,0,False,0,False,False,True,True,0.6278574936993065,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,-1.0,False,8,False,False,566.278574936993,10.6,False,True,True,True,"above_ema60, ema60_gt_ema120, market_above_ma60, avoid_chase, liquidity_ok, adx_trending, mfi_strong, above_ichimoku_cloud",,"close_below_ema20, close_below_swing_low",,,,,,,
2026-06-11,119.0,126.0,116.5,125.0,362586174,44222583666,2303,聯電,,8.430807969339014,11.704842575655087,-3.274034606316073,122.07596967078176,98.6506305897329,81.51860489013117,55.16611467694279,45.0158635502894,10.154411977202711,324554813.4,41396077690.0,146.0,118.5,0.737802800576436,1.8031838633954185,0.0,0.0548523206751054,118.5,1.0731632155893596,150.36278129686272,126.2,102.0372187031373,0.4751684215228191,0.3829283882228639,21.7948717948718,16.25025835552151,4750019330.0,4646825962.8,-71.76470588235294,-26.243246223398405,63.93035630266576,76.575,72.1,88935.62383333333,True,-0.0540055389902732,50122329.0,9.0,-69007860.0,0.0,6889335.0,3.0,0.0540055389902732,0.0,0.0,0.1778,0.0123,0.0,40.18,1.25,0,False,0,False,False,True,True,1.1171800849341524,False,True,True,False,True,True,True,True,True,True,False,True,False,False,False,False,True,True,False,False,False,False,-1.0,False,14,False,False,1156.1718008493417,30.1,False,False,False,False,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, avoid_chase, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, kd_golden_cross, obv_uptrend, dealer_buy_3d, mfi_strong, above_ichimoku_cloud",,,,,,,,,
2026-06-11,22.7,23.3,21.6,22.85,4698556,105352257,2305,全友,,1.507288303163083,1.5363041111574405,-0.0290158079943574,21.34432129914014,18.4759336668614,16.305069509760063,66.19651141909534,29.719060084392392,1.6549569176580603,7527631.35,162636474.05,23.8,22.5,1.992912147579992,0.675790177880114,0.0133037694013304,0.0088300220750552,22.65,1.5820739881226702,26.417045645161835,20.99750000000004,15.57795435483824,0.6709091611446939,0.516208657712755,51.4851485148515,52.30154594406789,92619021.0,61936321.7,-38.58267716535431,45.47569202140033,67.24420099111762,17.099999999999998,15.975,88935.62383333333,True,-0.0540055389902732,-270813.0,0.0,0.0,0.0,-141000.0,0.0,0.0673093083916037,0.0,0.0,0.9783,-0.031,0.0,6.19,0.46,0,False,0,False,False,True,True,0.6241745618958878,False,True,True,False,True,True,False,True,False,True,False,False,False,False,False,False,True,True,True,False,False,False,-1.0,False,11,True,False,881.2417456189589,28.5,True,False,False,True,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, avoid_chase, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, mfi_strong, above_ichimoku_cloud",long_upper_shadow,macd_death_cross,,,,,,,
2026-06-11,2170.0,2230.0,2080.0,2160.0,15289457,32928355820,2308,台達電,,63.679422962196895,96.50772613673163,-32.82830317453475,2260.9904001079776,1993.575607450657,1676.910042090984,47.28222779638096,27.11522787502713,138.7180368708446,12833309.2,29033201555.7,2520.0,2200.0,0.8208946877041176,0.9462110964636512,-0.1092783505154638,-0.0181818181818181,2200.0,1.5126677428708808,2619.5716279666003,2251.75,1883.9283720334,0.3752792209267104,0.3266984593907851,18.181818181818183,39.393939393939945,399797675.0,432759164.2,-84.15841584158416,-42.43568232662185,44.770363799400734,1965.0,1725.0,88935.62383333333,True,-0.0540055389902732,-446055.0,0.0,79401.0,1.0,184577.0,1.0,-0.0552728115251905,0.0,0.0,0.4365,0.0046,0.0,63.96,-0.43,0,False,0,False,False,True,True,1.1913885001695432,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,-1.0,False,7,True,False,501.9138850016954,13.5,False,True,True,True,"above_ema60, ema60_gt_ema120, market_above_ma60, avoid_chase, liquidity_ok, adx_trending, above_ichimoku_cloud",long_upper_shadow,"close_below_ema20, close_below_swing_low",,,,,,,
2026-06-11,34.35,35.85,33.9,34.9,38352628,1337598360,2312,金寶,,2.15167845088412,2.858763706375814,-0.7070852554916942,35.66459477884525,30.85517996075447,27.82138258838642,50.913061515365776,39.67986993236864,2.7269112656623564,92375700.4,3488450531.45,43.4,34.85,1.6231606655563606,1.049645852357855,-0.1498172959805115,0.0014347202295552,34.85,0.7512618070686646,45.35645827716368,35.69750000000003,26.038541722836392,0.4587170801904415,0.5411560068443803,9.523809523809524,15.89602024384658,2249453759.0,1904609245.2,-90.47619047619048,-12.892407499037995,68.92147029662391,27.675,26.725,88935.62383333333,True,-0.0540055389902732,3106776.0,1.0,12000.0,1.0,-282462.0,0.0,-0.0958117569902382,0.0,0.0,-0.081,0.0193,0.0,9.14,-0.91,0,False,0,False,False,True,True,0.415180916993621,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,-1.0,False,9,False,False,614.1518091699362,11.7,False,True,False,True,"above_ema60, ema60_gt_ema120, market_above_ma60, avoid_chase, liquidity_ok, adx_trending, obv_uptrend, mfi_strong, above_ichimoku_cloud",,close_below_ema20,,,,,,,
2026-06-11,265.0,279.5,258.5,275.0,92016311,24861076271,2313,華通,,3.585400976717437,4.880707658203535,-1.2953066814860978,265.6351843388044,246.7661347354401,210.977521733432,53.70426087344708,12.354895212176237,20.41477692177845,78762011.5,21305455964.75,298.5,252.0,0.1952611464583967,0.2004247523694563,0.0357815442561204,0.0617760617760618,259.0,1.1135881965507146,296.5595010378857,267.775,238.99049896211423,0.6255015675013889,0.2149902047456687,71.55172413793103,62.931034482758456,1732070000.0,1892819680.3,-42.36111111111112,15.616756357496936,41.93212371903763,247.25,232.5,88935.62383333333,True,-0.0540055389902732,10646549.0,1.0,90000.0,1.0,353058.0,1.0,0.0897870832463937,0.0,0.0,0.1302,0.0707,0.0,23.09,0.91,0,False,0,False,False,True,True,1.1682828973965451,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,-1.0,False,8,False,False,661.6828289739655,35.5,False,False,False,False,"above_ema60, ema60_gt_ema120, market_above_ma60, avoid_chase, liquidity_ok, stronger_than_market, kd_golden_cross, above_ichimoku_cloud",,,,,,,,,
2026-06-11,15.2,15.2,14.75,14.95,247565,3693342,2314,台揚,,0.2308504179266783,0.2800120777098769,-0.0491616597831985,15.40642158572916,15.915872639779506,16.65924867590305,46.451211153429234,19.41235969566804,0.8025899217704058,629336.45,9853280.25,16.75,15.5,0.8676531833210682,-0.3105687223904152,-0.1074626865671641,-0.0385852090032154,15.55,0.2674743469755891,17.92640540892485,15.357500000000003,12.78859459107516,0.4206860636860592,0.3345473428520064,22.64150943396225,37.73584905660452,-4170353.0,-4782043.2,-80.00000000000003,-29.99057597427784,51.805958723698055,15.475,16.75,88935.62383333333,True,-0.0540055389902732,-9421.0,0.0,0.0,0.0,0.0,0.0,-0.0534571475768909,0.0,0.0,0.0404,-0.4381,0.0,1.59,-0.01,0,False,0,False,False,False,False,0.3933746408618156,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,-1.0,False,4,False,False,258.93374640861816,8.1,True,True,True,True,"market_above_ma60, avoid_chase, obv_uptrend, mfi_strong",,"macd_death_cross, close_below_ema20, close_below_swing_low",,,,,,,
2026-06-11,154.5,160.0,150.0,153.5,3573267,550880035,2316,楠梓電,,8.959645957495098,11.277896760577292,-2.3182508030821936,155.2824379454156,134.07023718227626,119.21489427139916,52.36440609072553,43.3593529589773,10.667395206449076,8961955.15,1392994757.8,171.5,157.0,1.0017214763739004,0.962816012164321,-0.040625,-0.0222929936305732,157.0,0.5905888624918793,184.58381871628768,157.4,130.21618128371233,0.4282661490516921,0.3454106571319907,14.0,38.0,535430366.0,530701908.15,-90.78947368421052,-18.741633199464747,64.21628459394708,113.15,105.1,88935.62383333333,True,-0.0540055389902732,195561.0,6.0,0.0,0.0,-16212.0,0.0,0.0133805389902732,0.0,0.0,0.3908,-0.111,0.0,34.75,1.19,0,False,0,False,False,True,True,0.3987151174261344,False,False,True,False,True,True,True,True,False,True,False,False,False,False,False,False,True,True,True,False,False,False,-1.0,False,11,True,False,878.9871511742614,19.9,False,True,True,True,"above_ema60, ema60_gt_ema120, market_above_ma60, avoid_chase, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, mfi_strong, above_ichimoku_cloud",long_upper_shadow,"close_below_ema20, close_below_swing_low",,,,,,,
