date,open,high,low,close,volume,amount,stock_id,name,industry_category,macd,macd_signal,macd_hist,ema20,ema60,ema120,rsi14,adx14,atr14,volume_ma20,amount_ma20,close_20d_high,close_10d_low,lr_slope_20,lr_slope_60,return_5d,day_return,prev_close,prev_volume_ratio,bb_upper,bb_mid,bb_lower,bb_pct_b,bb_bandwidth,stoch_k,stoch_d,sma5,sma10,obv,obv_ma,williams_r,cci20,mfi14,ichi_senkou_a,ichi_senkou_b,market_ma60,market_above_ma60,market_return_5d,foreign_net,foreign_buy_streak,invest_trust_net,invest_trust_streak,dealer_net,dealer_buy_streak,relative_strength_5d,margin_change_5d,short_ratio,revenue_yoy,revenue_mom,revenue_3m_yoy,foreign_holding_pct,foreign_holding_chg5d,insider_net_30d,has_buyback,limit_down_streak,macd_golden_cross,hist_turn_positive,above_ema60,ema60_gt_ema120,volume_ratio,volume_break,rsi_strong,adx_trending,breakout_20d,avoid_chase,liquidity_ok,foreign_buy_3d,stronger_than_market,kd_golden_cross,obv_uptrend,invest_trust_buy_2d,dealer_buy_3d,bb_squeeze_breakout,breakout_volume_confirm,williams_r_recovery,cci_momentum,mfi_strong,ma5_above_ma10,kd_level_score,bb_level_signal,gap_to_20d_high_pct,breakout_proximity_score,obv_strength,foreign_buy_accel,invest_trust_accel,above_ichimoku_cloud,long_upper_shadow,open_high_close_low,gap_chase_after_blowout,earnings_blocked,f_score,f_score_low,condition_count,skip_trade,entry_signal,entry_score,momentum_score,expected_hold_days,momentum_decay_signal,estimated_sl_days,macd_death_cross,close_below_ema20,close_below_swing_low,base_exit_signal,entry_reason,skip_reason,base_exit_reason
2026-08-27,14695.0,14815.0,14085.0,14340.0,382810,5490561130,2059,川湖,,1588.0884068395426,1510.341221922498,77.74718491704448,12470.396417754546,9564.05280990562,7546.375235005946,73.13295608387003,50.98310055482111,756.492891077954,575536.7,7104281891.75,14510.0,12235.0,2.959239135563936,1.4514702554906178,0.029802513464991,-0.0117160578911096,14510.0,0.8461309643255953,16393.85264320938,12236.5,8079.147356790622,0.7529855151253354,0.6795002890057416,58.0281690140845,71.55855641110308,14186.0,13957.0,21793513.0,21170462.75,-21.31616595135909,83.21657498393591,67.09256510138798,7915.0,6675.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,3.5552,0.4422,0.0,23.27,-0.11,0,False,0,False,False,True,True,0.6651356898699945,False,True,True,False,True,True,False,False,False,True,False,False,False,False,False,False,True,True,0.0,0.0,1.1854951185495115,15.0,0.2623669745966245,False,False,True,False,False,False,False,-1,False,9,False,False,689.7997605938594,,8,True,3,False,False,False,False,"ema60_gt_ema120, rsi_strong, market_above_ma60, avoid_chase, liquidity_ok, adx_trending, obv_uptrend, mfi_strong, above_ichimoku_cloud",,
2026-08-27,149.0,150.0,147.0,149.5,450320,66806831,2072,世紀風電,,-0.5280559693120495,-0.1782055638155945,-0.3498504054964548,151.1455806128146,157.87504759052788,177.61336784276452,47.62137496345522,6.356195586410378,5.473932094789919,440863.2,67810500.95,163.5,149.0,-0.3100410116893542,,-0.0099337748344371,0.0033557046979866,149.0,0.722032119630901,160.77094048833686,153.075,145.37905951166312,0.2677346904242653,0.1005512394360525,22.727272727272727,14.242424242424022,150.6,150.9,-15467168.0,-15377737.0,-77.27272727272727,-115.23963381798562,33.4329928826844,118.125,103.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0565,-0.0853,0.0,1.25,-0.15,0,False,0,False,False,False,False,1.0214506450073402,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,10.0,0.0,9.364548494983277,0.0,-0.07145326888498,False,False,True,False,False,False,False,-1,False,5,False,False,369.3570672234536,,3,False,3,False,True,False,True,"market_above_ma60, avoid_chase, liquidity_ok, kd_golden_cross, above_ichimoku_cloud",,close_below_ema20
2026-08-27,308.5,309.0,300.0,301.0,25729076,7831559541,2301,光寶科,,19.186611637195256,15.903054864261062,3.283556772934194,266.5976994348942,236.7665551226731,215.12242267750523,68.12044335459976,31.0613159760667,17.8135236397773,39065349.75,10489856819.95,307.0,261.0,1.3069387161386774,0.4252827158789487,0.1273408239700375,-0.019543973941368,307.0,1.3040438258736375,310.127644688258,265.225,220.3223553117421,0.8983618364616631,0.3386003935395075,81.30081300813008,90.78590785907907,290.4,279.65,534685215.0,463517707.05,-18.69918699186992,162.91532690246498,74.32920778031517,212.0,224.75,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.3761,0.0188,0.0,44.2,-0.06,0,False,0,False,False,True,True,0.6586162971701027,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,-20.0,-12.0,1.9933554817275747,15.0,1.3045666381981045,False,False,True,False,False,False,False,-1,False,8,False,False,595.2409626300782,,8,False,3,False,False,False,False,"ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, obv_uptrend, mfi_strong, above_ichimoku_cloud",,
2026-08-27,45.1,45.55,43.7,44.0,3612511,160129874,2302,麗正,,0.4495134597840788,0.4219185736985993,0.0275948860854795,43.10682513000669,40.33136288859606,34.87859184112626,52.829288694842056,14.130988565728806,3.0312443706329377,4982333.85,219213350.85,46.05,41.6,0.3997326879836377,0.1649732395094443,0.0173410404624276,-0.020044543429844,44.9,1.2219759108080313,47.1854411972782,43.02749999999992,38.86955880272164,0.6169448957860041,0.1932690115520671,48.66666666666665,41.9999999999994,43.11999999999989,43.42499999999991,170576150.0,181568672.7,-51.33333333333335,56.69785224729976,68.95191746406019,44.925,38.6,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.8116,0.2254,0.0,2.64,0.77,0,False,0,False,False,True,True,0.7250640179401066,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,0.0,0.0,4.659090909090902,0.0,-0.4169686011146264,False,False,False,False,False,False,False,-1,False,5,False,False,332.2470169660255,,3,False,3,False,False,False,False,"ema60_gt_ema120, market_above_ma60, avoid_chase, liquidity_ok, mfi_strong",,
2026-08-27,123.5,123.5,117.0,118.5,184011489,21911489818,2303,聯電,,-3.2907126816178334,-4.458377564406381,1.1676648827885474,122.5791767358666,125.23864070951558,112.50454477551187,43.983583744642,18.25869817661244,7.30734368909419,144156871.65,17439608342.9,125.0,115.5,0.012443883065364,-0.4228361205195089,0.0259740259740259,-0.0404858299595142,123.5,0.5534685612175733,126.5083275543198,120.5,114.4916724456802,0.3335643336753452,0.0997232789098722,40.625,60.92342342342332,121.4,119.95,6506976280.0,6485295317.2,-64.86486486486487,-28.68852459016344,65.03784721093943,151.125,137.7,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.1898,0.0311,0.0,41.01,0.12,0,False,0,False,False,False,True,1.2764669966393516,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,True,0.0,0.0,5.485232067510549,0.0,0.028794674021769,False,False,False,False,False,False,False,-1,False,6,False,False,423.1102060546547,,3,False,3,False,True,False,True,"ema60_gt_ema120, market_above_ma60, avoid_chase, liquidity_ok, obv_uptrend, mfi_strong",,close_below_ema20
2026-08-27,31.0,31.2,29.3,29.45,8580638,258547565,2305,全友,,-0.7390099081108659,-1.061992129450032,0.3229822213391662,28.91916583150347,28.678104219816102,25.20925017843336,50.472444956404026,13.060679640139684,2.205813594244645,6426552.15,188620849.65,32.6,26.0,-0.3751761177098475,-0.0254333167605098,0.1092278719397363,-0.05,31.0,1.623390993591242,32.37549089227767,28.58750000000009,24.79950910772252,0.613846630645054,0.2650102941689594,68.18181818181819,66.060606060606,28.259999999999856,28.01500000000005,161539466.0,160711927.2,-37.5,59.77011494252896,70.6850088092449,35.15,29.175,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.978,0.1911,0.0,3.69,0.94,0,False,0,False,False,True,True,1.335185306167631,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,0.0,0.0,10.696095076400686,0.0,0.0301316937441449,False,False,False,False,False,False,False,-1,False,5,False,False,373.713433386606,,3,False,3,False,False,False,False,"ema60_gt_ema120, market_above_ma60, liquidity_ok, obv_uptrend, mfi_strong",,
2026-08-27,1780.0,1820.0,1760.0,1770.0,8854910,15822545385,2308,台達電,,-15.5498092971809,-20.714424143722447,5.1646148465415465,1765.7113946012028,1832.824854594713,1763.4359445940252,49.23826652722206,17.0246998934846,96.249662820921,13185364.1,22927116648.3,1885.0,1710.0,0.4213896837006489,-0.5353203940106963,0.0143266475644698,0.0114285714285713,1750.0,0.7783987006828958,1921.6884699402333,1746.5,1571.3115300597667,0.5670706240199974,0.2006166274723541,32.857142857142854,25.23809523809541,1743.0,1781.5,191860954.0,202061261.55,-67.14285714285714,29.259707402925773,59.2902920837176,1907.5,2125.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.4775,0.0224,0.0,62.0,-0.06,0,False,0,False,False,False,True,0.6715711400036348,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,0.0,0.0,6.497175141242938,0.0,-0.2393917008549214,False,False,False,True,False,False,False,-1,False,5,True,False,323.8430109897773,,3,False,3,False,False,False,False,"ema60_gt_ema120, market_above_ma60, avoid_chase, liquidity_ok, mfi_strong",long_upper_shadow,
2026-08-27,32.05,32.15,31.7,31.7,6416521,204984514,2312,金寶,,-0.2465633865446364,-0.2361696662789008,-0.0103937202657355,32.0238131312376,32.20904066149686,30.712791409734752,47.55892373197164,8.753905666959849,1.4695708558902494,13569171.35,438649748.6,33.75,31.05,2.0792022766720475e-05,-0.3242694682297353,0.0111642743221689,-0.006269592476489,31.9,0.4695113488942606,33.82629262331108,32.084999999999994,30.3437073766889,0.3894499422883013,0.1085424730130024,33.333333333333286,25.993097090917217,31.559999999999853,32.014999999999965,2113405355.0,2111012547.35,-76.71232876712334,-25.197328476017688,64.83069967249119,33.0375,35.525,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.4923,0.0786,0.0,8.91,-0.28,0,False,0,False,False,False,True,0.4728749335161133,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,0.0,0.0,6.466876971608835,0.0,0.0430026019908402,False,False,False,False,False,False,False,-1,False,6,False,False,400.2447805590512,,3,False,3,False,True,False,True,"ema60_gt_ema120, market_above_ma60, avoid_chase, liquidity_ok, obv_uptrend, mfi_strong",,close_below_ema20
2026-08-27,228.5,244.0,228.0,244.0,61896088,14750487258,2313,華通,,3.38615024685825,-0.4377488385880033,3.8238990854462536,214.8861677959837,220.31895644969708,214.39719252897484,64.1621621795768,12.166498733153848,12.906874153957094,27185696.8,5791565314.8,222.0,207.5,0.8180972493866744,-0.4501854640437007,0.1218390804597702,0.0990990990990992,222.0,1.1507484380385715,239.515278555056,210.975,182.434721444944,1.0785682844036135,0.2705560237474204,100.0,84.76190476190459,221.9,217.2,1335299726.0,1223439304.9,-0.0,210.5230693313594,54.43224806864806,225.5,248.25,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.1601,0.0058,0.0,19.46,0.42,0,False,0,False,False,True,True,2.2767887266365747,True,True,False,True,False,True,False,False,False,True,False,False,False,True,False,True,True,True,-20.0,-25.0,-9.01639344262295,25.0,0.7588075141422846,False,False,False,False,False,False,False,-1,False,10,False,False,706.8735774360731,,3,False,3,False,False,False,False,"ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, obv_uptrend, breakout_volume_confirm, cci_momentum, mfi_strong",,
2026-08-27,11.9,11.9,11.7,11.75,119599,1401372,2314,台揚,,-0.308240383610153,-0.4539950762023001,0.145754692592147,11.72579303170624,12.927465032685635,14.270075327189364,46.900517080700304,21.95530652968813,0.4248767505931726,138930.15,1613132.25,12.15,10.85,-0.2366393291844483,-0.6687216839504595,0.0585585585585586,-0.0126050420168067,11.9,0.9396230025834847,12.460511542880097,11.604999999999972,10.749488457119847,0.5847446192905111,0.1474384391004096,47.36842105263158,51.75438596491222,11.65,11.37500000000009,-2999422.0,-2460495.05,-53.846153846153854,30.226700251888804,47.843909716383045,13.725,14.825,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-0.3223,-0.4412,0.0,1.18,-0.04,0,False,0,False,False,False,False,0.8608570565856296,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0,0.0,3.404255319148939,8.0,-0.6743427677399718,False,False,False,False,False,False,False,-1,False,2,False,False,108.51645735297664,,3,False,3,False,False,False,False,"market_above_ma60, adx_trending",,
