date,open,high,low,close,volume,amount,stock_id,name,industry_category,macd,macd_signal,macd_hist,ema20,ema60,ema120,rsi14,adx14,atr14,volume_ma20,amount_ma20,close_20d_high,close_10d_low,lr_slope_20,lr_slope_60,return_5d,day_return,prev_close,prev_volume_ratio,bb_upper,bb_mid,bb_lower,bb_pct_b,bb_bandwidth,stoch_k,stoch_d,sma5,sma10,obv,obv_ma,williams_r,cci20,mfi14,ichi_senkou_a,ichi_senkou_b,market_ma60,market_above_ma60,market_return_5d,foreign_net,foreign_buy_streak,invest_trust_net,invest_trust_streak,dealer_net,dealer_buy_streak,relative_strength_5d,margin_change_5d,short_ratio,revenue_yoy,revenue_mom,revenue_3m_yoy,foreign_holding_pct,foreign_holding_chg5d,insider_net_30d,has_buyback,limit_down_streak,macd_golden_cross,hist_turn_positive,above_ema60,ema60_gt_ema120,volume_ratio,volume_break,rsi_strong,adx_trending,breakout_20d,avoid_chase,liquidity_ok,foreign_buy_3d,stronger_than_market,kd_golden_cross,obv_uptrend,invest_trust_buy_2d,dealer_buy_3d,bb_squeeze_breakout,breakout_volume_confirm,williams_r_recovery,cci_momentum,mfi_strong,ma5_above_ma10,kd_level_score,bb_level_signal,gap_to_20d_high_pct,breakout_proximity_score,obv_strength,foreign_buy_accel,invest_trust_accel,above_ichimoku_cloud,long_upper_shadow,open_high_close_low,gap_chase_after_blowout,earnings_blocked,f_score,f_score_low,condition_count,skip_trade,entry_signal,entry_score,momentum_score,expected_hold_days,momentum_decay_signal,estimated_sl_days,macd_death_cross,close_below_ema20,close_below_swing_low,base_exit_signal,entry_reason,skip_reason,base_exit_reason,sector_rs,sector_rs_rank,market_rs_rank,sector_breadth_60,sector_vol_zscore,is_sector_leader,sector_stock_count,grade
2026-08-28,53.5,54.0,52.3,53.2,112274,5952548,8045,達運光電,,-1.4178863483882722,-1.7679238480956705,0.350037499707398,53.393980964899214,58.177541408793175,63.93878287030186,47.28582705519808,14.099588407506229,2.428534675839622,152024.1,8003240.6,55.5,50.8,-0.2418863941970367,-0.3812254126104073,0.02504816955684,0.0133333333333334,52.5,0.6147176075130648,55.47182498446251,52.875000000000185,50.27817501553786,0.562576415804762,0.0982250585139409,75.75757575757582,54.96797240699683,52.51999999999971,52.26999999999971,9385069.0,9514614.4,-28.5714285714285,4.18285031371336,37.77542220787226,61.2,66.1,103172.68649999988,True,0.0247531396963325,17000.0,4.0,0.0,0.0,373.0,3.0,0.0002950298605075,0.0,0.0,-0.004,0.1692,0.0,1.51,0.12,0,False,0,False,False,False,False,0.7385276413410768,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,True,-10.0,0.0,4.323308270676686,0.0,-0.1862355000253129,True,False,False,False,False,False,False,-1.0,False,5,False,False,400.150450413107,14.4,3,False,3,False,True,False,True,"market_above_ma60, avoid_chase, foreign_buy_3d, stronger_than_market, dealer_buy_3d",,close_below_ema20,,,,,,,,
2026-08-28,1300.0,1310.0,1215.0,1240.0,16449294,20662640690,8046,南電,,35.196338897269925,31.697994501952103,3.4983443953178224,1176.3934923687718,1077.8080860659222,922.1356500462972,55.73210988771158,11.784389876347388,98.65347486595886,10326042.0,12494072083.45,1305.0,1135.0,0.8617171386749828,0.5323318322294602,0.092511013215859,-0.0424710424710425,1295.0,0.8207138773193543,1349.2384914778895,1168.4,987.5615085221108,0.6979667033684425,0.3095489412493827,59.64912280701754,55.904546312016464,1202.0,1206.0,543306560.0,549656910.8,-45.16129032258065,77.61503180943953,62.526567747186725,1194.5,1088.0,103172.68649999988,True,0.0247531396963325,-1189048.0,0.0,339961.0,3.0,-37449.0,0.0,0.0677578735195265,0.0,0.0,0.5024,0.1613,0.0,11.22,-0.72,0,False,0,False,False,True,True,1.592991196433251,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,0.0,0.0,5.241935483870968,0.0,-0.1678763680901155,False,True,True,False,False,False,False,-1.0,False,9,False,False,758.9153955472511,41.5,5,False,3,False,False,False,False,"ema60_gt_ema120, volume_break, rsi_strong, market_above_ma60, liquidity_ok, stronger_than_market, invest_trust_buy_2d, mfi_strong, above_ichimoku_cloud",,,,,,,,,,
2026-08-28,51.1,53.9,50.8,51.4,5604465,294415166,8070,長華*,,0.4016655986397168,0.0639019558128348,0.337763642826882,49.720120775780174,49.94551219391884,49.17624850064867,55.63552355757272,17.01476940521686,2.404752995281639,4537074.9,230918546.4,54.4,48.8,0.4485410978743316,-0.3879457543258571,0.0532786885245901,0.0138067061143982,50.7,0.4626122151928001,52.90929355968719,49.29999999999991,45.69070644031264,0.7909156549989855,0.146421645423419,53.731343283582085,49.75124378109467,50.33999999999978,50.55999999999985,250539749.0,253632244.2,-46.26865671641791,122.58664805768784,48.01601381597323,51.525,54.2,103172.68649999988,True,0.0247531396963325,-11000.0,0.0,0.0,0.0,-23609.0,0.0,0.0285255488282576,0.0,0.0,0.3363,0.0593,0.0,10.99,0.29,0,False,0,False,False,True,True,1.235259528115791,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,0.0,0.0,5.836575875486381,0.0,-0.1289017054786546,False,False,False,True,False,False,False,-1.0,False,6,True,False,475.80577481541405,23.5,3,False,3,False,False,False,False,"ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, stronger_than_market, cci_momentum",long_upper_shadow,,,,,,,,,
2026-08-28,26.4,26.45,25.8,26.2,117822,3081978,8072,陞泰,,-0.2831036226682499,-0.342119030224895,0.059015407556645,26.47982545742731,27.30330805188385,28.31152548205726,43.46010786159694,19.04184195759062,0.5878297256682429,98110.1,2585223.2,26.95,26.1,-0.0553742388814895,-0.2602173967956874,-0.0056925996204933,-0.0075757575757575,26.4,0.706313421476179,26.896756878949304,26.3925000000002,25.888243121051097,0.309125063002233,0.0382121344282731,34.782608695652094,39.371980676328654,26.22000000000044,26.37000000000044,2197959.0,2303026.85,-66.66666666666677,-78.68200539696072,51.32887748922232,28.5875,29.275,103172.68649999988,True,0.0247531396963325,-73000.0,0.0,0.0,0.0,1000.0,1.0,-0.0304457393168259,0.0,0.0,-0.001,-0.1625,0.0,1.83,-0.06,0,False,0,False,False,False,False,1.200916113631522,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0,0.0,2.862595419847328,8.0,-0.1224185468229451,False,False,False,False,False,False,False,-1.0,False,3,False,False,178.54013857443988,10.3,3,False,3,False,True,False,True,"market_above_ma60, avoid_chase, mfi_strong",,close_below_ema20,,,,,,,,
2026-08-28,262.0,263.5,258.5,260.0,415098,108115569,8081,致新,,-1.719086374919527,-2.789295851778856,1.0702094768593289,259.1198414594511,264.4533782696313,260.1671973946436,49.63794525201446,16.317618303092324,9.506797997911914,756780.45,197969511.65,270.0,252.0,-0.0109203517935302,-0.310742541475798,0.0116731517509727,-0.0057361376673039,261.5,0.4713151361431299,270.59615948803884,259.125,247.6538405119612,0.5381391262545158,0.0885376516201743,78.78787878787878,79.19823232323203,257.9,257.05,21448215.0,21329358.5,-56.66666666666666,22.491349480968843,49.83666957395702,272.75,288.25,103172.68649999988,True,0.0247531396963325,-123989.0,0.0,-1000.0,0.0,-10965.0,0.0,-0.0130799879453598,0.0,0.0,0.1001,0.128,0.0,18.6,0.35,0,False,0,False,False,False,True,0.5485051840332292,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,-10.0,0.0,3.8461538461538463,0.0,0.0309755564593622,False,False,False,False,False,False,False,-1.0,False,5,False,False,345.85675851784464,11.0,3,False,3,False,False,False,False,"ema60_gt_ema120, market_above_ma60, avoid_chase, liquidity_ok, obv_uptrend",,,,,,,,,,
2026-08-28,12.45,12.45,12.4,12.4,4481,55388,8101,華冠,,0.2478106370975652,-0.0768198309720346,0.3246304680695999,11.92118591931902,12.39907528381818,13.054601235002808,51.12102104606424,8.944199604548988,1.7719021101495442,16939.15,200308.75,14.2,10.0,,,-0.0570342205323194,-0.03125,12.8,0.5714932989936568,18.45946355540852,10.927499999999986,3.3955364445914533,0.597750074676254,1.378533709523412,58.997722095672,64.31283219438107,13.019999999999982,12.225,1068419.0,984356.8,-41.002277904328,43.02792701224527,65.3607950046761,13.4625,14.275,103172.68649999988,True,0.0247531396963325,0.0,0.0,0.0,0.0,0.0,0.0,-0.0817873602286519,0.0,0.0,0.3617,0.0903,0.0,0.05,0.0,0,False,0,False,False,True,False,0.2645351153983523,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,0.0,0.0,14.516129032258055,0.0,2.0,False,False,False,False,False,False,False,-1.0,False,4,False,False,316.6453511539835,21.4,3,True,3,False,False,False,False,"market_above_ma60, avoid_chase, obv_uptrend, mfi_strong",,,,,,,,,,
2026-08-28,32.15,32.15,31.5,31.5,277879,8807215,8104,錸寶,,-0.7083838201211563,-1.0201790039773897,0.3117951838562334,31.59838637065691,33.775829347559025,34.78317361056355,46.00945694864662,25.38397362058426,1.1379447498715969,306243.75,9559477.3,32.15,30.3,0.0591871125036693,-0.6278599068451604,0.0260586319218241,-0.0094339622641509,31.8,1.5137136999614602,32.310905755297576,31.16499999999987,30.019094244702167,0.6461725793990346,0.0735379916764132,59.090909090909136,67.62360446570953,31.279999999999564,31.054999999999744,132962575.0,132386528.35,-48.00000000000004,68.63601934393769,49.944182871389856,37.85,40.25,103172.68649999988,True,0.0247531396963325,-73895.0,0.0,0.0,0.0,0.0,0.0,0.0013054922254915,0.0,0.0,-0.3912,0.3539,0.0,2.07,0.36,0,False,0,False,False,False,False,0.9073785179289372,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,0.0,0.0,2.063492063492059,8.0,0.0716021535300612,False,False,False,False,False,False,False,-1.0,False,5,False,False,392.9330110216501,13.1,3,False,3,False,True,False,True,"market_above_ma60, avoid_chase, adx_trending, stronger_than_market, obv_uptrend",,close_below_ema20,,,,,,,,
2026-08-28,115.5,116.5,107.5,108.5,5176982,572061261,8103,瀚荃,,6.674250618331215,2.860603021187792,3.813647597143423,92.8112081865538,90.64546610812972,90.7065323159261,69.91476719590862,35.55848533529315,6.282504304197499,3474189.0,344228354.1,114.0,78.9,2.0582542898002045,-0.2512795798702904,0.1542553191489362,-0.0482456140350877,114.0,3.251389794201232,112.88666039594892,88.08000000000011,63.27333960405132,0.911583011861901,0.563275667482942,77.02702702702703,89.71767042633171,107.34000000000016,96.96000000000022,164000750.0,126168112.35,-22.07792207792208,153.35891345392517,87.4720918319827,87.775,98.75,103172.68649999988,True,0.0247531396963325,81391.0,5.0,0.0,0.0,-48869.0,0.0,0.1295021794526036,0.0,0.0,0.343,0.0528,0.0,21.27,4.82,0,False,0,False,False,True,False,1.4901267605187858,False,True,True,False,False,True,True,True,False,True,False,False,False,False,False,False,True,True,-10.0,-25.0,5.0691244239631335,0.0,2.0,True,False,True,False,False,False,False,-1.0,False,9,False,False,838.9012676051879,45.4,10,True,3,False,False,False,False,"rsi_strong, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, mfi_strong, above_ichimoku_cloud",,,,,,,,,,
2026-08-28,16.65,16.65,16.65,16.65,6433266,107113843,8105,凌巨,,-0.6951312185154777,-0.7558388249680698,0.0607076064525921,16.42239466082279,17.304747867827516,16.56893968087372,49.371467102622674,26.20903331160673,1.032600364097486,4948217.0,74090509.9,17.2,13.8,-0.0864982769137424,-0.5712995037675828,-0.0059701492537314,0.0990099009900988,15.15,0.5109455759414449,17.880856341692343,16.085000000000036,14.28914365830773,0.6573065692625336,0.2232957838597827,79.22077922077919,41.5584415584417,15.490000000000055,16.155000000000065,-15052411.0,18196355.2,-20.7792207792208,47.7414069191525,32.44403087183136,20.8625,19.425,103172.68649999988,True,0.0247531396963325,-1919.0,0.0,0.0,0.0,448268.0,3.0,-0.0307232889500639,0.0,0.0,0.1187,0.0423,0.0,41.29,-0.07,0,False,0,True,True,False,True,1.3001180021005545,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,-10.0,0.0,3.303303303303308,8.0,-1.0306396957544013,False,False,False,False,False,False,False,-1.0,False,8,False,False,568.6335036719528,18.2,3,False,3,False,False,False,False,"macd_golden_cross, ema60_gt_ema120, market_above_ma60, avoid_chase, liquidity_ok, hist_turn_positive, adx_trending, dealer_buy_3d",,,,,,,,,,
2026-08-28,47.1,47.1,45.75,46.0,4242083,196549516,8110,華東,,-0.0294350470764754,-0.3990844805662207,0.3696494334897452,45.23560600220685,47.52364449468007,48.78847007854269,51.99175645829633,9.866228651315454,2.081707449213729,6007617.4,272188551.65,46.85,43.45,0.1646998858949858,-0.5735841888760111,0.0176991150442478,-0.0032502708559046,46.15,0.548447274195897,48.123792037551816,45.31749999999984,42.51120796244786,0.621601741883487,0.1238502581807022,74.7126436781609,68.48659003831442,45.829999999999565,45.249999999999815,2699859267.0,2685407388.0,-43.96551724137928,53.49479202913648,61.94630362286283,49.10000000000001,54.85,103172.68649999988,True,0.0247531396963325,-365030.0,0.0,0.0,0.0,-12609.0,0.0,-0.0070540246520847,0.0,0.0,0.1851,0.0422,0.0,2.07,0.22,0,False,0,False,False,False,False,0.7061173702573003,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,True,-10.0,0.0,1.847826086956525,15.0,0.5114068057317326,False,False,False,False,True,False,False,-1.0,False,5,True,False,368.1980553713538,13.2,3,False,3,False,False,False,False,"market_above_ma60, avoid_chase, liquidity_ok, obv_uptrend, mfi_strong",open_high_close_low,,,,,,,,,
