date,open,high,low,close,volume,amount,stock_id,name,industry_category,macd,macd_signal,macd_hist,ema20,ema60,ema120,rsi14,adx14,atr14,volume_ma20,amount_ma20,close_20d_high,close_10d_low,lr_slope_20,lr_slope_60,return_5d,day_return,prev_close,prev_volume_ratio,bb_upper,bb_mid,bb_lower,bb_pct_b,bb_bandwidth,stoch_k,stoch_d,obv,obv_ma,williams_r,cci20,mfi14,ichi_senkou_a,ichi_senkou_b,market_ma60,market_above_ma60,market_return_5d,foreign_net,foreign_buy_streak,invest_trust_net,invest_trust_streak,dealer_net,dealer_buy_streak,relative_strength_5d,margin_change_5d,short_ratio,macd_golden_cross,hist_turn_positive,above_ema60,ema60_gt_ema120,volume_ratio,volume_break,rsi_strong,adx_trending,breakout_20d,avoid_chase,liquidity_ok,foreign_buy_3d,stronger_than_market,kd_golden_cross,obv_uptrend,invest_trust_buy_2d,dealer_buy_3d,bb_squeeze_breakout,breakout_volume_confirm,williams_r_recovery,cci_momentum,mfi_strong,above_ichimoku_cloud,long_upper_shadow,open_high_close_low,gap_chase_after_blowout,earnings_blocked,f_score,f_score_low,condition_count,skip_trade,entry_signal,entry_score,momentum_score,macd_death_cross,close_below_ema20,close_below_swing_low,base_exit_signal,entry_reason,skip_reason,base_exit_reason
2026-05-29,55.2,55.6,53.5,54.1,4892496,265151472,5471,松翰,,2.994645616595811,2.7444459762669986,0.2501996403288125,50.59444507079668,45.35730216110159,41.89524757513309,62.65642683288275,40.67990029007518,2.626810554580401,4272311.35,222499519.25,55.8,47.6,1.2158161158952003,0.4780096660304616,0.0018518518518517,-0.0269784172661871,55.6,4.020232775612649,57.96848703275364,50.16999999999998,42.37151296724632,0.7519719519628623,0.310882480875171,61.32075471698112,78.93081761006276,43840688.0,49463088.9,-38.67924528301887,89.52923954079658,77.37655416119924,41.7625,41.75,84981.37599999997,True,0.0583517947481986,0.0,0.0,0.0,0.0,0.0,0.0,-0.0564999428963468,0.0,0.0,False,False,True,True,1.1451637296986794,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,-1,False,9,False,False,991.4815432974272,10.2,False,False,False,False,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, avoid_chase, liquidity_ok, adx_trending, mfi_strong, above_ichimoku_cloud",,
2026-05-29,48.0,50.5,47.8,48.75,1526083,75082145,5484,慧友,,2.4855807059539003,1.4990323313461391,0.986548374607761,43.48260263611506,41.044476925280726,40.26336424267744,65.12405771761917,35.56465446454293,2.778013102823526,1281381.5,58110480.6,51.3,39.45,1.472011111302911,0.198170213344421,0.0906040268456376,0.0405549626467449,46.85,1.400309759753513,50.76990170884861,41.99500000000016,33.220098291151714,0.8849045963209037,0.4179022125895184,69.0909090909091,67.06855439642338,12609481.0,5407872.0,-27.777777777777786,125.35997120230404,74.06009692563383,40.85,39.525,84981.37599999997,True,0.0583517947481986,0.0,0.0,0.0,0.0,0.0,0.0,0.0322522320974389,0.0,0.0,False,False,True,True,1.190966936856822,False,True,True,False,False,True,False,True,True,True,False,False,False,False,False,False,True,True,True,False,False,False,-1,False,11,True,False,1240.699547042855,24.7,False,False,False,False,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, kd_golden_cross, obv_uptrend, mfi_strong, above_ichimoku_cloud",long_upper_shadow,
2026-05-29,20.5,20.5,19.8,19.9,2425316,48601120,6108,競國,,0.3176758100027399,0.3848599803400884,-0.0671841703373484,19.502519001761083,18.210819277346168,16.959681914101452,54.53545836381938,21.713250126050067,0.9886362077440636,3063336.95,64124243.5,24.2,18.5,-0.3972850611051509,0.5030198399289728,0.0231362467866322,-0.0124069478908188,20.15,1.1813744866779654,22.590468123757347,19.91999999999996,17.24953187624257,0.4962553381892048,0.2681192895338748,52.38095238095236,63.16204139876451,35774226.0,35149246.1,-44.7761194029851,9.968847352024888,49.39270436144338,17.3625,16.425,84981.37599999997,True,0.0583517947481986,0.0,0.0,0.0,0.0,0.0,0.0,-0.0352155479615663,0.0,0.0,False,False,True,True,0.7917235484003808,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,-1,False,8,False,False,876.1089308138972,9.7,False,False,False,False,"above_ema60, ema60_gt_ema120, market_above_ma60, avoid_chase, liquidity_ok, adx_trending, obv_uptrend, above_ichimoku_cloud",,
2026-05-29,42.05,43.15,41.95,42.8,528097,22565901,6112,邁達特,,-0.8862118001876027,-0.9225600540458336,0.0363482538582308,43.244488279816935,44.75416803916324,45.99740508586628,44.14180602003059,14.540587294044858,1.2215921975662627,602776.9,26316058.8,47.55,41.75,-0.54269937340838,-0.1436504922123561,-0.0058072009291521,0.0214797136038185,41.9,1.0486485730762003,47.036960049552754,43.4199999999998,39.80303995044685,0.4142926668382145,0.1666034108499754,56.140350877192894,41.66426996452901,-24963685.0,-22538154.3,-45.454545454545496,-39.42022412457261,39.15125655113405,46.85,46.375,84981.37599999997,True,0.0583517947481986,0.0,0.0,0.0,0.0,0.0,0.0,-0.0641589956773507,0.0,0.0,True,True,False,False,0.8761068979252522,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-1,False,5,False,False,561.8857567055622,4.3,False,True,False,True,"macd_golden_cross, market_above_ma60, avoid_chase, hist_turn_positive, kd_golden_cross",,close_below_ema20
2026-05-29,47.6,47.6,47.3,47.5,155342,7365983,6115,鎰勝,,-0.0442274900479162,-0.0882918151557902,0.0440643251078739,47.264678681878095,47.26417385982944,47.29722563069852,54.47393791312563,16.033846943486736,0.4133531008229318,189079.45,8946828.95,47.85,46.65,-0.0648303428315284,0.0279443768697369,0.0117145899893502,-0.0021008403361344,47.6,0.8784804118211661,48.06778296852257,47.27249999999994,46.47721703147732,0.6430308512847167,0.0336467488930193,90.9090909090908,86.82476943346471,-2593763.0,-1948684.95,-15.384615384615552,38.68312757201629,35.47402906386205,47.5125,47.175,84981.37599999997,True,0.0583517947481986,0.0,0.0,0.0,0.0,0.0,0.0,-0.0466372047588483,0.0,0.0,False,False,True,False,0.8215699802384658,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1,False,3,False,False,319.58582626998657,1.8,False,False,False,False,"above_ema60, market_above_ma60, avoid_chase",,
2026-05-29,16.5,17.1,15.75,17.1,289351189,4861840165,6116,彩晶,,1.6589744287981318,1.0026416455885676,0.6563327832095642,11.881019090964314,10.021094376071396,9.209825207125014,86.77908521888466,46.19337325274279,0.8991419776306575,148721931.4,1883756252.05,15.55,9.85,3.1420212781186527,0.639481372530017,0.4430379746835444,0.0996784565916399,15.55,2.4207927515824674,15.886484167167891,11.149500000000012,6.412515832832132,1.1280894963976245,0.8497213627818065,100.0,95.60129449838192,2615256944.0,1156632028.4,-0.0,205.0504028859445,88.31261004498768,8.8375,8.93,84981.37599999997,True,0.0583517947481986,0.0,0.0,0.0,0.0,0.0,0.0,0.3846861799353458,0.0,0.0,False,False,True,True,1.9455852023718403,True,True,True,True,False,True,False,True,False,True,False,False,False,True,False,False,True,True,False,False,True,False,-1,False,13,True,False,1494.1178432699955,56.8,False,False,False,False,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",gap_chase_after_blowout,
2026-05-29,84.8,84.8,82.5,84.0,827113,69177415,6117,迎廣,,1.363260965594094,1.3884926465218754,-0.0252316809277814,84.2789386701285,81.17289087551156,80.49187735772136,50.62199253819261,19.14070142375481,3.8176754709828167,1160576.7,100439064.8,95.0,79.0,0.1405304284689235,0.4314889425922928,-0.0508474576271186,0.016949152542373,82.6,1.4332515685851843,92.72102279736616,83.97000000000007,75.218977202634,0.5017140853529121,0.2084321256964646,33.51955307262569,33.705772811918,45836902.0,45957043.8,-66.4804469273743,-7.923295104205099,53.63089649816447,79.525,75.5,84981.37599999997,True,0.0583517947481986,0.0,0.0,0.0,0.0,0.0,0.0,-0.1091992523753172,0.0,0.0,False,False,True,True,0.7126741386415909,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,-1,False,7,True,False,745.3475175726389,6.8,True,True,False,True,"above_ema60, ema60_gt_ema120, market_above_ma60, avoid_chase, liquidity_ok, mfi_strong, above_ichimoku_cloud",open_high_close_low,"macd_death_cross, close_below_ema20"
2026-05-29,14.05,14.45,13.85,14.35,4929934,70292761,6120,達運,,0.2040610780986291,0.0649564260156402,0.1391046520829889,13.627290749110118,13.393498225665429,13.007718794501034,57.70559980012887,16.820083642035915,0.7396960339989739,4701420.75,64751823.05,15.15,12.6,0.6063727344600948,0.0715764465194045,-0.0238095238095238,0.0436363636363636,13.75,1.1530635721088371,14.7678408684627,13.337500000000023,11.907159131537346,0.8539366113086757,0.2144841039869052,60.65573770491801,52.0367610531545,115634557.0,105132525.45,-36.36363636363639,98.02795328355356,69.57275067458829,14.2375,13.875,84981.37599999997,True,0.0583517947481986,0.0,0.0,0.0,0.0,0.0,0.0,-0.0821613185577224,0.0,0.0,False,False,True,True,1.0486051477098706,False,True,False,False,True,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,-1,False,10,False,False,1084.0900032633624,8.7,False,False,False,False,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, avoid_chase, liquidity_ok, kd_golden_cross, obv_uptrend, mfi_strong, above_ichimoku_cloud",,
2026-05-29,19.3,19.5,19.25,19.45,182178,3530024,6128,上福,,-0.4775156604353192,-0.5336957712866344,0.0561801108513151,19.590920765611063,20.8529300198905,22.36050933192278,43.50931513413715,26.665179641220583,0.4590533157478063,187526.3,3665958.7,20.8,18.7,-0.5337561061390131,-0.3594953878475882,0.0345744680851063,0.0051679586563306,19.35,0.921492984673875,21.1092359083846,19.670000000000076,18.230764091615544,0.4235705561824772,0.1463381706542474,48.38709677419352,43.01075268817173,-8670697.0,-8554589.0,-54.54545454545461,-32.54398729990751,43.456743616803934,21.450000000000003,23.875,84981.37599999997,True,0.0583517947481986,0.0,0.0,0.0,0.0,0.0,0.0,-0.0237773266630922,0.0,0.0,False,False,False,False,0.971479733776009,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1,False,3,False,False,349.00224431267145,7.5,False,True,False,True,"market_above_ma60, avoid_chase, adx_trending",,close_below_ema20
2026-05-29,23.15,23.5,22.9,23.3,1010303,23412961,6133,金橋,,0.2341384197432461,0.1029776877496044,0.1311607319936417,22.90707218120657,22.77327497991028,21.9403970094747,53.64920467275181,12.94367905691134,0.9369080280728852,1996074.75,46693833.0,24.35,20.55,0.4084342178148632,-0.1807413758996391,-0.0331950207468879,0.0152505446623094,22.95,0.7248569612366881,24.71131885797756,22.63500000000004,20.558681142022515,0.6601391803202422,0.1834609107998691,65.85365853658539,64.47995514437874,109099422.0,105858857.75,-32.18390804597699,42.64011234520604,56.49466854408832,24.0875,25.925,84981.37599999997,True,0.0583517947481986,0.0,0.0,0.0,0.0,0.0,0.0,-0.0915468154950865,0.0,0.0,False,False,True,True,0.5061448725805484,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,-1,False,7,False,False,753.8504462332082,6.0,False,False,False,False,"above_ema60, ema60_gt_ema120, market_above_ma60, avoid_chase, kd_golden_cross, obv_uptrend, mfi_strong",,
