rank,stock_id,name,industry_category,entry_score,entry_signal,close,volume_ratio,rsi14,adx14,foreign_buy_streak,invest_trust_streak,dealer_buy_streak,f_score,condition_count,margin_change_5d,relative_strength_5d,return_5d,revenue_yoy,sma5,sma10,grade,entry_reason,limit_down_streak,expected_hold_days,momentum_decay_signal,estimated_sl_days
54,2302,麗正,,1251.109437937482,False,32.7,2.1934522474437657,79.01052536548971,38.700181715330615,2.0,0.0,0.0,-1,11,,0.2047473374771355,0.3106212424849701,,,,C,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, mfi_strong, above_ichimoku_cloud",,,,
55,2357,華碩,,1247.5138163690108,False,701.0,0.735647666277126,67.51366453444436,31.213480207023053,1.0,4.0,8.0,-1,11,,-0.0105614050078346,0.0953124999999999,,,,C,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, obv_uptrend, invest_trust_buy_2d, dealer_buy_3d, mfi_strong, above_ichimoku_cloud",,,,
56,2383,台光電,,1245.8261206167908,False,5305.0,0.8755158005269593,67.09311549348666,41.95300612709432,1.0,1.0,0.0,-1,11,,0.1011795648442701,0.2070534698521047,,,,C,"macd_golden_cross, above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, hist_turn_positive, adx_trending, stronger_than_market, obv_uptrend, above_ichimoku_cloud",,,,
57,2412,中華電,,1242.9792336436783,False,137.0,1.12421305668316,50.72499408641966,28.763342498493788,0.0,3.0,6.0,-1,11,,-0.1202623942164676,-0.0143884892086331,,,,C,"above_ema60, ema60_gt_ema120, market_above_ma60, avoid_chase, liquidity_ok, adx_trending, kd_golden_cross, invest_trust_buy_2d, dealer_buy_3d, mfi_strong, above_ichimoku_cloud",,,,
58,3702,大聯大,,1242.9052222056437,False,120.5,0.6341168757504548,64.79427697836363,55.89093974724186,3.0,0.0,0.0,-1,11,,-0.0932688629910278,0.0126050420168066,,,,C,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, avoid_chase, liquidity_ok, foreign_buy_3d, adx_trending, obv_uptrend, mfi_strong, above_ichimoku_cloud",,,,
59,2395,研華,,1241.2135002191274,False,509.0,0.8463309884884626,78.16863452408255,43.87521524362813,0.0,1.0,4.0,-1,11,,-0.0112502490938559,0.0946236559139785,,,,C,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, obv_uptrend, dealer_buy_3d, cci_momentum, mfi_strong, above_ichimoku_cloud",,,,
60,2476,鉅祥,,1240.675949376269,False,129.0,1.360857501501835,66.29002043725482,24.49687012519197,0.0,0.0,0.0,-1,11,,0.0257050423605864,0.131578947368421,,,,C,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, bb_squeeze_breakout, mfi_strong, above_ichimoku_cloud",,,,
61,2399,映泰,,1239.1947953595152,False,48.0,0.8670437955196747,60.41930388451434,42.367672075718055,0.0,0.0,3.0,-1,11,,0.0315668532860042,0.1374407582938388,,,,C,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, dealer_buy_3d, mfi_strong, above_ichimoku_cloud",,,,
62,2317,鴻海,,1235.039955465651,False,264.0,0.869666011098918,69.72652670645536,36.93068585544524,5.0,1.0,1.0,-1,11,,-0.0058739050078344,0.1,,,,C,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, obv_uptrend, mfi_strong, above_ichimoku_cloud",,,,
63,3025,星通,,1233.037344001059,False,77.2,1.8202278765986808,73.33321839230415,25.01705033045014,0.0,0.0,0.0,-1,11,,0.1981801490462194,0.3040540540540539,,,,C,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, mfi_strong, above_ichimoku_cloud",,,,
64,2379,瑞昱,,1232.963602150161,False,605.0,1.2848028155639053,64.48881019690577,29.001024460032188,1.0,3.0,1.0,-1,11,,-0.0388545046551007,0.0670194003527338,,,,C,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, obv_uptrend, invest_trust_buy_2d, mfi_strong, above_ichimoku_cloud",,,,
65,2493,揚博,,1228.5224729564766,False,158.0,2.4295932094329813,65.90776451209524,21.85673291935039,0.0,0.0,0.0,-1,11,,0.1236980794279631,0.2295719844357977,,,,C,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, mfi_strong, above_ichimoku_cloud",,,,
66,2428,興勤,,1225.664224963157,False,266.0,1.124752172124193,88.07145778271217,35.721582531936164,0.0,0.0,2.0,-1,11,,0.0869512070997886,0.1928251121076232,,,,C,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, mfi_strong, above_ichimoku_cloud",,,,
67,2349,錸德,,1224.3305171654156,False,13.85,1.914119104581024,58.59419537627357,21.78494707306363,1.0,0.0,1.0,-1,11,,0.0340437904654165,0.139917695473251,,,,C,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, bb_squeeze_breakout, mfi_strong",,,,
68,2329,華泰,,1224.1341097052807,False,58.5,1.2862598775369405,54.21995726562619,13.045671858710456,0.0,0.0,3.0,-1,11,,0.0322583907120097,0.1381322957198443,,,,C,"macd_golden_cross, above_ema60, ema60_gt_ema120, market_above_ma60, liquidity_ok, hist_turn_positive, stronger_than_market, obv_uptrend, dealer_buy_3d, mfi_strong, above_ichimoku_cloud",,,,
69,2340,台亞,,1223.687380763089,False,40.1,1.1206395623944954,61.27265757921734,21.66779508840357,0.0,0.0,1.0,-1,11,,0.0581319005074048,0.1640058055152393,,,,D,"macd_golden_cross, above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, hist_turn_positive, adx_trending, stronger_than_market, obv_uptrend, above_ichimoku_cloud",,,,
