rank,stock_id,name,industry_category,entry_score,entry_signal,close,open,high,low,volume,volume_ratio,rsi14,adx14,atr14,macd,macd_hist,bb_pct_b,stoch_k,stoch_d,ema20,ema60,foreign_buy_streak,invest_trust_streak,dealer_buy_streak,foreign_net,invest_trust_net,dealer_net,f_score,condition_count,margin_change_5d,short_ratio,relative_strength_5d,return_5d,day_return,momentum_score,revenue_yoy,revenue_mom,sma5,sma10,grade,entry_reason,skip_reason,limit_down_streak,kd_level_score,bb_level_signal,gap_to_20d_high_pct,breakout_proximity_score,obv_strength,foreign_buy_accel,invest_trust_accel,expected_hold_days,momentum_decay_signal,estimated_sl_days
1,3008,大立光,,1073.4381363243092,False,4130.0,4180.0,4270.0,4100.0,5970214,2.343813632430921,67.03387759347464,38.11209973767236,243.5808618067813,281.4361961261029,4.703853841752277,0.9999320761101382,85.18518518518519,56.913580246913625,3562.3952442956747,3040.8582819278795,0.0,0.0,0.0,0.0,0.0,0.0,-1,16,0.0,0.0,,0.0363864491844416,0.063063063063063,,0.0,0.0,,,A,"macd_golden_cross, above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, avoid_chase, liquidity_ok, hist_turn_positive, adx_trending, obv_uptrend, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",open_high_close_low,0,,,,,,,,,,
2,3152,璟德,,1032.2325397779005,False,206.5,190.0,206.5,189.0,3397617,1.7232539777900373,65.65096579739112,33.36645845157025,11.70722061872026,5.565421038064329,0.0211943899275608,0.9345318288355812,100.0,60.39603960396016,184.4505604516376,171.13020407981134,0.0,0.0,0.0,0.0,0.0,0.0,-1,15,0.0,0.0,,0.1253405994550409,0.0984042553191488,,0.0,0.0,,,A,"macd_golden_cross, above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, hist_turn_positive, adx_trending, obv_uptrend, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",,0,,,,,,,,,,
3,2542,興富發,,995.3582541816812,False,45.45,43.2,46.1,42.65,60906374,3.5358254181681046,68.43158427372083,31.87067911358549,1.2815413224723666,0.933870525789466,-0.047529973238383,1.176757580850849,86.73469387755105,64.91156462585059,42.57634482801826,40.41375394849663,0.0,0.0,0.0,0.0,0.0,0.0,-1,14,0.0,0.0,,0.0569767441860464,0.0520833333333332,,0.0,0.0,,,A,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",,0,,,,,,,,,,
4,2348,海悅,,930.0,False,78.1,71.0,78.1,70.2,5909182,8.246808821231815,68.11974894919598,28.081457234806948,2.523207644004567,0.4108696210135321,0.8931249105471857,1.238025482801576,85.36585365853651,47.388617886178814,71.62666892216103,73.19983456092332,0.0,0.0,0.0,0.0,0.0,0.0,-1,13,0.0,0.0,,0.0441176470588235,0.0999999999999998,,0.0,0.0,,,A,"above_ema60, volume_break, rsi_strong, breakout_20d, market_above_ma60, avoid_chase, liquidity_ok, adx_trending, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, cci_momentum, mfi_strong",,0,,,,,,,,,,
5,2493,揚博,,929.773769703292,False,180.5,166.0,185.5,163.5,13303736,1.9773769703291924,65.55791653780418,30.06019456854504,12.91118289126831,11.249654228549332,1.8535278465724156,0.9219443819495632,77.52808988764045,56.554307116105214,156.59965267660186,138.04373077602952,0.0,0.0,0.0,0.0,0.0,0.0,-1,14,0.0,0.0,,0.1176470588235294,0.0680473372781065,,0.0,0.0,,,A,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, kd_golden_cross, obv_uptrend, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",,0,,,,,,,,,,
6,4155,訊映,,911.0234550867452,False,15.65,14.9,15.75,14.75,1119882,1.602345508674539,66.02578279821242,27.8752994390215,0.5242836683634979,0.3880296940974794,0.0231695035636405,1.0294470016956083,93.10344827586208,64.36781609195411,14.7062367385132,14.181731634063937,0.0,0.0,0.0,0.0,0.0,0.0,-1,13,0.0,0.0,,0.0830449826989621,0.0503355704697987,,0.0,0.0,,,A,"macd_golden_cross, above_ema60, volume_break, rsi_strong, breakout_20d, market_above_ma60, hist_turn_positive, adx_trending, obv_uptrend, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",,0,,,,,,,,,,
7,2546,根基,,887.9462309516564,False,90.9,90.1,91.7,89.2,267733,1.7946230951656386,76.93333954196416,21.775104553307543,1.4956715305770922,1.2357469294373402,0.4431515713811879,1.0551970360662046,86.88524590163941,85.4574751296065,87.1668236881677,85.90353321238588,0.0,0.0,0.0,0.0,0.0,0.0,-1,13,0.0,0.0,,0.0496535796766746,0.0088790233074362,,0.0,0.0,,,A,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, avoid_chase, adx_trending, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",,0,,,,,,,,,,
8,3285,微端,,872.7570870803283,False,34.25,31.8,34.25,30.5,488044,4.77570870803284,68.88825967714205,42.66963835433341,1.341568956465,0.985683893665012,0.2532607150726493,1.0937979578949315,100.0,57.87545787545787,30.767713188271557,29.456320044837284,0.0,0.0,0.0,0.0,0.0,0.0,-1,12,0.0,0.0,,0.1211129296235677,0.099518459069021,,0.0,0.0,,,A,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, adx_trending, obv_uptrend, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",,0,,,,,,,,,,
9,6432,今展科,,861.6814904278762,False,75.9,74.2,78.8,74.2,7508142,1.6681490427876136,72.82190110871633,46.49843488730868,4.955927122779194,6.690728849064328,0.4802402871243911,0.9598823441073516,85.2040816326531,73.08735088238245,62.000087457392766,50.20324866956283,0.0,0.0,0.0,0.0,0.0,0.0,-1,13,0.0,0.0,,0.1804043545878695,0.0585774058577406,,0.0,0.0,,,A,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, obv_uptrend, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",,0,,,,,,,,,,
10,1423,利華,,845.0,False,43.95,44.25,44.8,43.45,3445574,8.340676707136215,69.20114909622468,29.610476350120425,1.1420006622555712,0.8217624010328279,0.2290287599364514,0.8869080968141567,76.38888888888901,77.06113647894502,42.42253460466913,40.98767771658367,0.0,0.0,0.0,0.0,0.0,0.0,-1,12,0.0,0.0,,0.010344827586207,0.0011389521640092,,0.0,0.0,,,A,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, avoid_chase, adx_trending, obv_uptrend, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",,0,,,,,,,,,,
