rank,stock_id,name,industry_category,entry_score,entry_signal,close,volume_ratio,rsi14,adx14,foreign_buy_streak,invest_trust_streak,dealer_buy_streak,f_score,condition_count,margin_change_5d,relative_strength_5d,return_5d,revenue_yoy,entry_reason,limit_down_streak
44,4973,廣穎,,967.4633359353618,False,160.0,1.746333593536174,82.06519428480529,41.57734802304462,0.0,0.0,0.0,-1,13,0.0,0.3329525530778883,0.3913043478260869,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",0
45,8455,大拓-KY,,964.7975022761872,False,46.35,2.979750227618721,77.71734603686642,40.73427757569065,0.0,0.0,0.0,-1,13,0.0,0.0975085543789833,0.1558603491271819,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",0
46,6290,良維,,957.6814509960606,False,347.0,1.7681450996060573,74.59769140776802,23.09513865414667,0.0,0.0,1.0,-1,13,0.0,0.1898496441007222,0.2482014388489208,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",0
47,6412,群電,,955.5109687430552,False,102.0,0.5510968743055233,65.73367484451455,39.32393745759868,8.0,2.0,2.0,-1,13,0.0,-0.0434264216138702,0.0149253731343284,0.0,"above_ema60, rsi_strong, market_above_ma60, avoid_chase, liquidity_ok, foreign_buy_3d, adx_trending, kd_golden_cross, obv_uptrend, invest_trust_buy_2d, cci_momentum, mfi_strong, above_ichimoku_cloud",0
48,6147,頎邦,,941.2542232261758,False,305.5,0.6254223226175786,87.17540491489889,56.1538886903852,0.0,4.0,0.0,-1,13,0.0,0.3592816159246552,0.4176334106728538,0.0,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, invest_trust_buy_2d, bb_squeeze_breakout, mfi_strong, above_ichimoku_cloud",0
49,6672,騰輝電子-KY,,936.1289692541014,False,222.5,1.1128969254101426,66.66638974382045,36.22174928769257,1.0,0.0,1.0,-1,12,0.0,0.0944979461844439,0.1528497409326425,0.0,"macd_golden_cross, above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, hist_turn_positive, adx_trending, stronger_than_market, obv_uptrend, mfi_strong, above_ichimoku_cloud",0
50,6005,群益證,,929.5317181732772,False,38.5,0.9531718173277336,84.31117578265442,47.872872479855786,7.0,0.0,0.0,-1,12,0.0,0.1485447569759392,0.2068965517241379,0.0,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, mfi_strong, above_ichimoku_cloud",0
51,6235,華孚,,925.0,False,45.0,6.249936835686281,58.479302953535424,28.87945420673892,0.0,0.0,0.0,-1,12,0.0,0.0156338854427322,0.0739856801909308,0.0,"volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, cci_momentum, mfi_strong",0
52,4935,茂林-KY,,918.9231216547768,False,40.9,3.8923121654776702,72.6081700029614,16.654984343200493,2.0,0.0,0.0,-1,12,0.0,0.0470536106572068,0.1054054054054054,0.0,"above_ema60, volume_break, rsi_strong, breakout_20d, market_above_ma60, stronger_than_market, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",0
53,6698,旭暉應材,,918.4865347043082,False,37.65,4.34865347043081,72.50383051828378,29.27828896472902,0.0,0.0,0.0,-1,12,0.0,0.0425253982342572,0.1008771929824559,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",0
