rank,stock_id,name,industry_category,entry_score,entry_signal,close,volume_ratio,rsi14,adx14,foreign_buy_streak,invest_trust_streak,dealer_buy_streak,f_score,condition_count,margin_change_5d,relative_strength_5d,return_5d,revenue_yoy,sma5,sma10,grade,entry_reason,limit_down_streak,expected_hold_days,momentum_decay_signal,estimated_sl_days
1,6259,百徽,,1348.4153069312558,False,29.75,4.841530693125586,66.49585123248428,40.96763761602286,0.0,0.0,0.0,-1.0,16,0.0,0.1787692440942431,0.1247637051039698,0.4052,,,,"macd_golden_cross, above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, hist_turn_positive, adx_trending, stronger_than_market, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",0,,,
2,6613,朋億*,,1313.7706426875786,False,286.5,3.8770642687578536,66.78147773638966,25.24925361503156,0.0,0.0,3.0,-1.0,16,0.0,0.1310732081632056,0.0770676691729324,0.8172,,,,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, dealer_buy_3d, bb_squeeze_breakout, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",0,,,
3,6174,安碁,,1281.330412565159,False,51.7,1.6330412565158692,68.88034752504288,37.0461228229429,6.0,0.0,1.0,-1.0,16,0.0,0.2330249232548115,0.1790193842645382,0.2483,,,,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",0,,,
4,2406,國碩,,1229.951895824778,False,39.4,2.9951895824778223,61.97905667410801,20.02033550090808,3.0,0.0,1.0,-1.0,16,0.0,0.0773821623668965,0.0233766233766232,1.212,,,,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, avoid_chase, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",0,,,
5,2412,中華電,,1189.7077711443917,False,145.0,0.9707771144391792,66.14532598244466,35.73821530522875,3.0,14.0,7.0,-1.0,15,0.0,0.0787405213224287,0.0247349823321554,0.0539,,,,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, avoid_chase, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, invest_trust_buy_2d, dealer_buy_3d, mfi_strong, above_ichimoku_cloud",0,,,
6,6244,茂迪,,1172.282771627206,False,31.25,3.2282771627206137,56.7895005816837,21.18694522846976,3.0,0.0,3.0,-1.0,15,0.0,0.0887737509108032,0.0347682119205299,0.3154,,,,"macd_golden_cross, above_ema60, ema60_gt_ema120, volume_break, rsi_strong, market_above_ma60, avoid_chase, liquidity_ok, hist_turn_positive, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, dealer_buy_3d, mfi_strong",0,,,
7,2303,聯電,,1156.1718008493417,False,125.0,1.1171800849341524,55.16611467694279,45.0158635502894,9.0,0.0,3.0,-1.0,14,0.0,0.0540055389902732,0.0,0.1778,,,,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, avoid_chase, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, kd_golden_cross, obv_uptrend, dealer_buy_3d, mfi_strong, above_ichimoku_cloud",0,,,
8,3550,聯穎,,1143.139260434806,False,28.6,3.813926043480586,76.99601296564201,34.02645527848438,4.0,0.0,0.0,-1.0,14,0.0,0.2481600275080185,0.1941544885177453,0.3657,,,,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",0,,,
9,3441,聯一光,,1120.7187821984971,False,71.5,4.071878219849706,74.4431908767209,56.65959623934135,6.0,0.0,1.0,-1.0,14,0.0,0.3587500645377185,0.3047445255474452,0.4619,,,,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",0,,,
10,3516,亞帝歐,,1108.633119511254,False,25.0,1.863311951125392,66.2239067814049,31.72267889292533,9.0,0.0,2.0,-1.0,13,0.0,0.1315917458868251,0.0775862068965518,0.3231,,,,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, market_above_ma60, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, bb_squeeze_breakout, cci_momentum, mfi_strong, above_ichimoku_cloud",0,,,
11,3611,鼎翰,,1092.028682234259,False,193.5,1.7028682234258654,61.95633241353283,23.70709279744624,3.0,0.0,1.0,-1.0,14,0.0,0.0618180389902732,0.0078125,0.0691,,,,"above_ema60, volume_break, rsi_strong, breakout_20d, market_above_ma60, avoid_chase, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",0,,,
12,6173,信昌電,,1060.0,False,251.5,10.942428852957727,73.1056214496631,47.351272378585065,0.0,1.0,0.0,-1.0,13,0.0,0.2210589032594149,0.1670533642691416,0.2563,,,,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",0,,,
13,6666,羅麗芬-KY,,1055.0,False,43.3,7.506909233347115,63.71666756691094,20.505473573928843,1.0,0.0,0.0,-1.0,13,0.0,0.1191961908967923,0.065190651906519,0.3512,,,,"above_ema60, volume_break, rsi_strong, breakout_20d, market_above_ma60, adx_trending, stronger_than_market, kd_golden_cross, obv_uptrend, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",0,,,
