rank,stock_id,name,industry_category,entry_score,entry_signal,close,volume_ratio,rsi14,adx14,foreign_buy_streak,invest_trust_streak,dealer_buy_streak,f_score,condition_count,margin_change_5d,relative_strength_5d,return_5d,revenue_yoy,sma5,sma10,grade,entry_reason,limit_down_streak,expected_hold_days,momentum_decay_signal,estimated_sl_days
1,5269,祥碩,,1180.3430934686294,True,1590.0,1.5343093468629412,65.17211558269125,30.33881461175192,0.0,0.0,0.0,-1,17,0.0,,0.0291262135922329,0.0,,,A,"macd_golden_cross, above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, avoid_chase, liquidity_ok, hist_turn_positive, adx_trending, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",0,,,
2,6150,撼訊,,1080.2600388913825,False,76.0,2.0260038891382632,67.00454435473677,36.47181391349115,2.0,0.0,1.0,-1,15,0.0,,0.0857142857142856,0.0,,,A,"macd_golden_cross, above_ema60, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, hist_turn_positive, adx_trending, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",0,,,
3,8032,光菱,,1045.8648414553072,False,46.65,1.5864841455307304,66.35249688218676,35.39926739630121,0.0,0.0,0.0,-1,15,0.0,,0.0021482277121374,0.0,,,A,"macd_golden_cross, above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, avoid_chase, hist_turn_positive, adx_trending, obv_uptrend, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",0,,,
4,5285,界霖,,1041.6990317726463,False,90.6,1.6699031772646469,83.1602749778204,57.183058092192645,0.0,0.0,0.0,-1,15,0.0,,0.0111607142857141,0.0,,,A,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, avoid_chase, liquidity_ok, adx_trending, kd_golden_cross, obv_uptrend, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",0,,,
5,4967,十銓,,1038.303491465147,False,304.5,2.3303491465147115,67.5253066626174,31.78868498972483,0.0,0.0,0.0,-1,15,0.0,,0.1236162361623616,0.0,,,A,"macd_golden_cross, above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, hist_turn_positive, adx_trending, obv_uptrend, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",0,,,
6,3338,泰碩,,1032.3884454619283,False,88.7,2.7388445461928543,69.23431687195767,37.324025773899606,0.0,0.0,0.0,-1,15,0.0,,0.131377551020408,0.0,,,A,"macd_golden_cross, above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, hist_turn_positive, adx_trending, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",0,,,
7,1423,利華,,1030.0,False,43.05,7.219659194527587,65.05148288495589,26.777094394671927,0.0,0.0,0.0,-1,14,0.0,,0.0538555691554467,0.0,,,A,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, adx_trending, kd_golden_cross, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",0,,,
8,1528,恩德,,1026.794476436679,False,30.05,2.179447643667868,63.68438967213406,12.736438664701978,0.0,0.0,0.0,-1,15,0.0,,0.1579961464354529,0.0,,,A,"macd_golden_cross, above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, hist_turn_positive, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",0,,,
9,2347,聯強,,982.7527656386796,False,91.5,3.7752765638679575,73.98608849365051,22.076811285138984,0.0,0.0,0.0,-1,14,0.0,,0.0841232227488151,0.0,,,A,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",0,,,
10,2460,建通,,969.172240034294,False,35.7,2.4172240034294075,60.86236890397716,12.878496017458527,0.0,0.0,0.0,-1,14,0.0,,0.0967741935483872,0.0,,,A,"macd_golden_cross, above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, hist_turn_positive, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",0,,,
