rank,stock_id,name,industry_category,entry_score,entry_signal,close,open,high,low,volume,volume_ratio,rsi14,adx14,atr14,macd,macd_hist,bb_pct_b,stoch_k,stoch_d,ema20,ema60,foreign_buy_streak,invest_trust_streak,dealer_buy_streak,foreign_net,invest_trust_net,dealer_net,f_score,condition_count,margin_change_5d,short_ratio,relative_strength_5d,return_5d,day_return,momentum_score,revenue_yoy,revenue_mom,sma5,sma10,grade,entry_reason,skip_reason,limit_down_streak,kd_level_score,bb_level_signal,gap_to_20d_high_pct,breakout_proximity_score,obv_strength,foreign_buy_accel,invest_trust_accel,expected_hold_days,momentum_decay_signal,estimated_sl_days
14,3026,禾伸堂,,1514.191194491293,False,608.0,599.0,620.0,596.0,1917131,0.2177092140672854,89.47817691614412,53.48235470184688,35.77151296983357,85.58084882641975,24.339232867011678,1.0677931621969114,95.95959595959596,98.49294224294256,391.3954853507089,266.90529892375804,16.0,0.0,5.0,199270.0,0.0,37387.0,-1,13,,,0.4353174764877294,0.541191381495564,0.0666666666666666,38.8,,,,,B,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, dealer_buy_3d, mfi_strong, above_ichimoku_cloud",,,,,,,,,,,,
15,2327,國巨*,,1503.807077473164,False,701.0,683.0,727.0,683.0,24969369,0.4375251507206004,85.69779650817264,55.21152415904925,38.12742451029652,92.26138806438036,25.30354702429597,0.9767848275061102,90.69767441860463,92.79244862550333,503.18074114013547,382.0214521962262,0.0,9.0,5.0,-3390261.0,41000.0,1213990.0,-1,13,,,0.2422030180690886,0.3480769230769232,0.0605143721633887,38.2,,,,,B,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, invest_trust_buy_2d, dealer_buy_3d, mfi_strong, above_ichimoku_cloud",,,,,,,,,,,,
16,3528,安馳,,1481.586523659999,False,103.5,97.8,103.5,96.4,3687835,3.3349116394256644,74.9819016988148,43.975581843727234,4.686851927639682,5.45381479024654,1.2684440299858073,1.2257512398463355,100.0,81.29798150020603,86.10124775554935,77.58480185498411,2.0,0.0,1.0,304000.0,0.0,14176.0,-1,13,,,0.1426182542201508,0.2484921592279854,0.0963983050847456,75.7,,,,,B,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",,,,,,,,,,,,
17,3135,凌航,,1480.316947626561,False,242.0,245.0,245.0,230.0,3745800,0.5170257876929215,75.95366177513309,43.69995951550693,14.668443973803942,22.31378557250565,1.9562316292652329,0.9502235013648294,95.3125,74.62797619047645,193.80055158889917,154.80127966078905,7.0,0.0,0.0,577989.0,0.0,-9870.0,-1,13,,,0.1644673023412468,0.2703412073490814,0.0755555555555556,39.1,,,,,B,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, cci_momentum, mfi_strong, above_ichimoku_cloud",open_high_close_low,,,,,,,,,,,
18,3481,群創,,1480.0785434869526,False,50.2,47.0,50.2,44.45,1370411333,1.959096222983052,76.51173070789048,45.21570247509101,3.22774457423974,5.393877428282565,1.4980717393357983,0.9748514190069668,88.6685552407932,83.94711992445689,37.64354479640978,30.44021266128742,1.0,0.0,1.0,31655712.0,-5530000.0,6313034.0,-1,13,,,0.2527187878203116,0.3585926928281462,0.0984682713347921,58.8,,,,,B,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",,,,,,,,,,,,
19,2375,凱美,,1479.3834320199626,False,147.0,137.0,147.0,133.0,33132173,2.435892424253107,83.96690640749085,43.77333325579343,7.987978809511488,13.625138330209168,4.823455080348095,1.0549706993263683,100.0,87.80421132077451,110.77994375651694,95.98984040506284,0.0,0.0,1.0,-754030.0,0.0,361314.0,-1,13,,,0.2125117452163807,0.3183856502242153,0.0970149253731342,66.9,,,,,B,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",,,,,,,,,,,,
20,3617,碩天,,1478.0623843051867,False,215.0,208.0,220.0,207.5,1171537,3.130837062915945,70.61682880265765,23.283048739144824,6.316511063976478,4.991436353564154,1.5982208732781644,1.1803744995708338,85.5072463768116,90.80997470474296,196.7540599753225,191.41312255132183,0.0,0.0,1.0,-110818.0,0.0,6871.0,-1,13,,,0.0347096493688232,0.1405835543766578,0.0411622276029055,57.1,,,,,B,"above_ema60, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",,,,,,,,,,,,
21,3673,TPK-KY,,1472.7347007636388,False,87.9,91.3,93.0,84.1,65003683,2.51251814428132,78.2834743739534,45.60276756219466,5.339558273349982,6.884460864976489,1.9839583865246189,1.047321149163669,83.5483870967742,91.15074441687344,70.95975715588963,59.4733444928935,0.0,0.0,0.0,-162619.0,0.0,-219057.0,-1,13,,,0.1200675175863077,0.2259414225941423,0.005720823798627,64.9,,,,,B,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",open_high_close_low,,,,,,,,,,,
22,2373,震旦行,,1469.621813204835,False,58.0,57.4,58.0,56.8,145072,2.937111215714857,63.16428796819255,23.183224291832552,0.9613630512846107,0.1104078117326707,0.1415233738929911,1.0337961310892807,100.0,79.16666666666667,56.84342167679357,56.61096900617025,1.0,0.0,0.0,61000.0,0.0,-1000.0,-1,13,,,-0.0793252324414628,0.0265486725663717,0.0139860139860139,41.2,,,,,B,"above_ema60, volume_break, rsi_strong, breakout_20d, market_above_ma60, avoid_chase, adx_trending, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",,,,,,,,,,,,
23,2425,承啟,,1454.787419918677,False,36.5,35.25,37.0,35.0,1837841,1.8983813297979208,68.80256652395667,29.599266646749147,1.4267215790066785,1.3834207081400862,0.1790506737564481,0.9643311674017392,89.36170212765958,78.18906052657196,33.30744739767578,31.227098185249417,1.0,0.0,1.0,53930.0,0.0,14000.0,-1,13,,,0.0120433997394855,0.1179173047473201,0.0458452722063038,33.1,,,,,B,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",,,,,,,,,,,,
