rank,stock_id,name,industry_category,entry_score,entry_signal,close,volume_ratio,rsi14,adx14,foreign_buy_streak,invest_trust_streak,dealer_buy_streak,f_score,condition_count,margin_change_5d,relative_strength_5d,return_5d,revenue_yoy,sma5,sma10,grade,entry_reason,limit_down_streak,expected_hold_days,momentum_decay_signal,estimated_sl_days
1,2342,茂矽,,1493.0626930611045,False,48.05,1.7031219182519544,64.79817945977989,28.868569179718783,3.0,0.0,3.0,-1.0,19,0.0,0.135580671295475,0.1620314389359127,-0.0347,42.23999999999978,42.05499999999984,D,"macd_golden_cross, above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, hist_turn_positive, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, dealer_buy_3d, bb_squeeze_breakout, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",0,5,False,3
2,6209,今國光,,1434.7446374435715,False,95.3,2.0919936400781736,64.97885965721068,35.65444052982169,2.0,0.0,3.0,-1.0,18,0.0,0.0565037778141077,0.0829545454545455,0.7066,84.93999999999978,84.58999999999996,D,"macd_golden_cross, above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, hist_turn_positive, adx_trending, stronger_than_market, obv_uptrend, dealer_buy_3d, bb_squeeze_breakout, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",0,10,False,3
3,6498,久禾光,,1399.0,False,110.5,5.507798534898063,63.238390757271,30.71663566861137,0.0,0.0,3.0,-1.0,17,0.0,0.0637095162933725,0.1275510204081633,0.2921,102.6199999999997,101.30999999999986,D,"macd_golden_cross, above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, hist_turn_positive, adx_trending, stronger_than_market, obv_uptrend, dealer_buy_3d, bb_squeeze_breakout, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",0,10,False,3
4,3094,聯傑,,1365.9142426642877,False,39.0,4.570256918039878,69.0330917182292,26.50106792137955,5.0,0.0,1.0,-1.0,17,0.0,0.2856394647433407,0.3494809688581315,0.0,34.379999999999924,32.53499999999995,C,"macd_golden_cross, above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, hist_turn_positive, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",0,8,False,3
5,2332,友訊,,1337.069337269106,False,18.25,3.8069337269105903,71.78126308053476,31.26462978843012,1.0,0.0,6.0,-1.0,16,0.0,0.1060302907570041,0.1698717948717949,0.1307,16.4,16.120000000000072,D,"macd_golden_cross, above_ema60, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, hist_turn_positive, adx_trending, stronger_than_market, obv_uptrend, dealer_buy_3d, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",0,10,False,3
6,8926,台汽電,,1322.2082651781814,False,76.8,0.9915717591526578,68.62698488926945,52.152598381127866,1.0,5.0,4.0,-1.0,17,0.0,0.0184471915432355,0.0448979591836733,7.6817,74.77999999999993,72.66999999999989,D,"macd_golden_cross, above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, avoid_chase, liquidity_ok, hist_turn_positive, adx_trending, stronger_than_market, obv_uptrend, invest_trust_buy_2d, dealer_buy_3d, cci_momentum, mfi_strong, above_ichimoku_cloud",0,8,True,3
7,2379,瑞昱,,1290.64873665112,False,678.0,0.717380754391527,62.44926782166282,29.38442524751781,2.0,2.0,3.0,-1.0,17,0.0,0.0150238867374423,0.0414746543778801,0.2187,646.0,639.0,D,"macd_golden_cross, above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, avoid_chase, liquidity_ok, hist_turn_positive, adx_trending, stronger_than_market, obv_uptrend, invest_trust_buy_2d, dealer_buy_3d, cci_momentum, mfi_strong, above_ichimoku_cloud",0,3,True,3
8,1905,華紙,,1269.5812628124322,False,14.15,1.9251461163048087,65.2225109140603,21.649970594751764,3.0,0.0,3.0,-1.0,16,0.0,0.0790179823595622,0.10546875,0.0307,13.11999999999998,13.090000000000009,D,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, dealer_buy_3d, bb_squeeze_breakout, breakout_volume_confirm, cci_momentum, mfi_strong",0,5,False,3
9,3092,鴻碩,,1255.018573160196,False,32.2,3.541004204693392,59.29482039786992,14.764657652138585,5.0,0.0,4.0,-1.0,16,0.0,0.0659830572887181,0.1298245614035089,0.0,29.63000000000011,29.58500000000004,D,"macd_golden_cross, above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, hist_turn_positive, foreign_buy_3d, stronger_than_market, obv_uptrend, dealer_buy_3d, bb_squeeze_breakout, breakout_volume_confirm, cci_momentum, mfi_strong",0,5,False,3
10,2832,台產,,1251.0947016549994,False,56.9,2.447044640501069,65.42153552798693,32.95365695801292,4.0,0.0,0.0,-1.0,17,0.0,-0.0274116316193446,0.0364298724954461,0.0,54.79999999999964,54.76999999999971,D,"macd_golden_cross, above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, avoid_chase, hist_turn_positive, foreign_buy_3d, adx_trending, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",0,10,False,3
