rank,stock_id,name,industry_category,entry_score,entry_signal,close,volume_ratio,rsi14,adx14,foreign_buy_streak,invest_trust_streak,dealer_buy_streak,f_score,condition_count,margin_change_5d,relative_strength_5d,return_5d,revenue_yoy,sma5,sma10,grade,entry_reason,limit_down_streak,expected_hold_days,momentum_decay_signal,estimated_sl_days
1,8081,致新,,1377.1416644265782,False,319.0,2.8141664426578257,70.35778808335658,27.33511858954004,2.0,2.0,3.0,-1.0,17,0.0,0.0904031566501146,0.1684981684981685,-0.0328,292.4,280.2,D,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, invest_trust_buy_2d, dealer_buy_3d, bb_squeeze_breakout, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",0,8,False,3
2,6446,藥華藥,,1323.2145379472036,False,1060.0,0.8778045481982885,74.09915146700037,40.63522493182666,5.0,2.0,5.0,-1.0,16,0.0,0.0568086284089053,0.1349036402569592,1.0847,992.4,973.5,D,"macd_golden_cross, above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, hist_turn_positive, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, invest_trust_buy_2d, dealer_buy_3d, mfi_strong, above_ichimoku_cloud",0,10,False,3
3,6175,立敦,,1281.8813795371102,False,114.0,1.8723819726307644,65.85770210235331,41.4854619749655,0.0,0.0,0.0,-1.0,17,0.0,0.0287011046568004,0.1067961165048543,0.2503,105.24000000000017,103.02000000000008,D,"macd_golden_cross, above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, hist_turn_positive, adx_trending, stronger_than_market, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",0,8,False,3
4,3034,聯詠,,1280.6988992655297,False,516.0,1.6837439107118164,66.36178553310958,28.38051608687313,7.0,0.0,6.0,-1.0,17,0.0,-0.020717962667726,0.0573770491803278,0.0935,502.9,492.65,D,"macd_golden_cross, above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, hist_turn_positive, foreign_buy_3d, adx_trending, obv_uptrend, dealer_buy_3d, bb_squeeze_breakout, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",0,3,False,3
5,2890,永豐金,,1269.7202087535086,False,39.8,2.5720208753508595,81.08551075529002,36.14954915280965,6.0,2.0,0.0,-1.0,15,0.0,0.1188974693549536,0.1969924812030075,0.8269,36.16000000000004,34.58999999999996,C,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, invest_trust_buy_2d, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",0,12,False,3
6,6166,凌華,,1259.6131340385225,False,155.5,1.6250499383281962,71.83714697168239,61.77269413266056,1.0,0.0,1.0,-1.0,16,0.0,0.1367487381519461,0.21484375,0.7946,141.1,135.45,C,"macd_golden_cross, above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, hist_turn_positive, adx_trending, stronger_than_market, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",0,10,False,3
7,7610,聯友金屬-創,,1253.9552852522752,False,2315.0,4.2187848048073375,80.1818078107899,55.889151239198384,20.0,0.0,0.0,-1.0,15,0.0,0.4106509688593416,0.4887459807073955,4.6218,1934.0,1839.5,C,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",0,10,False,3
8,2316,楠梓電,,1244.887494762876,False,205.5,0.7718068751179467,75.52907827277105,41.20421569824877,4.0,0.0,2.0,-1.0,15,0.0,0.2606672031356594,0.3387622149837133,0.3908,178.0,170.25,C,"macd_golden_cross, above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, hist_turn_positive, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, bb_squeeze_breakout, mfi_strong, above_ichimoku_cloud",0,10,False,3
9,2455,全新,,1233.9129065011168,False,416.0,2.6208214198613864,56.00661048031413,25.10506605292449,0.0,4.0,4.0,-1.0,15,0.0,0.2219049881519461,0.3,0.4651,394.1,379.95,C,"macd_golden_cross, above_ema60, ema60_gt_ema120, volume_break, rsi_strong, market_above_ma60, liquidity_ok, hist_turn_positive, adx_trending, stronger_than_market, obv_uptrend, invest_trust_buy_2d, dealer_buy_3d, mfi_strong, above_ichimoku_cloud",0,8,False,3
10,8088,品安,,1230.926491319671,False,69.2,2.2908110095971685,65.84386517689194,25.30004877410112,0.0,0.0,1.0,-1.0,15,0.0,0.121211747250733,0.1993067590987869,0.5963,64.57999999999993,61.86000000000004,D,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",0,8,False,3
