rank,stock_id,name,industry_category,entry_score,entry_signal,close,volume_ratio,rsi14,adx14,foreign_buy_streak,invest_trust_streak,dealer_buy_streak,f_score,condition_count,margin_change_5d,relative_strength_5d,return_5d,revenue_yoy,sma5,sma10,grade,entry_reason,limit_down_streak,expected_hold_days,momentum_decay_signal,estimated_sl_days
1,2476,鉅祥,,1909.7460771145545,False,131.0,2.087523158966728,69.6159826028863,23.296057946013743,0.0,1.0,3.0,-1,17,,0.055747875788737,0.1391304347826087,,,,A,"macd_golden_cross, above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, hist_turn_positive, adx_trending, stronger_than_market, obv_uptrend, dealer_buy_3d, bb_squeeze_breakout, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",,,,
2,2312,金寶,,1738.1789354354212,False,40.0,3.205499273239588,79.75601550668961,35.3180544582683,8.0,0.0,5.0,-1,15,,0.3580588824475696,0.4414414414414414,,,,A,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, dealer_buy_3d, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",,,,
3,3321,同泰,,1735.6327542287677,False,18.2,3.723443906502602,66.10835070696682,22.78232269711598,3.0,0.0,0.0,-1,15,,0.106159924666259,0.1895424836601307,,,,A,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",,,,
4,3189,景碩,,1730.4432986485194,False,696.0,1.6728665707655814,77.49070338174106,31.380374220367763,1.0,8.0,0.0,-1,15,,0.2733425872049586,0.3567251461988303,,,,A,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, invest_trust_buy_2d, bb_squeeze_breakout, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",,,,
5,2369,菱生,,1726.9013810402969,False,37.7,3.5004637333384654,70.18039553260388,17.954297851913292,5.0,0.0,4.0,-1,15,,0.239424458549988,0.3228070175438597,,,,A,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, stronger_than_market, obv_uptrend, dealer_buy_3d, bb_squeeze_breakout, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",,,,
6,2344,華邦電,,1716.530541576355,False,141.0,1.4543426212562078,68.83559914775121,25.3253712631802,3.0,2.0,4.0,-1,15,,0.1166174410061282,0.1999999999999999,,,,A,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, invest_trust_buy_2d, dealer_buy_3d, cci_momentum, mfi_strong, above_ichimoku_cloud",,,,
7,2421,建準,,1707.9730031294966,False,165.0,1.61061213611843,69.50102076244438,16.412034219423827,4.0,6.0,0.0,-1,15,,0.0545484754888869,0.1379310344827586,,,,B,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, stronger_than_market, obv_uptrend, invest_trust_buy_2d, bb_squeeze_breakout, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",,,,
8,2467,志聖,,1690.7559654968877,False,668.0,1.2896974839160813,64.95855703846175,30.22502433489205,2.0,0.0,3.0,-1,15,,0.0763396632283506,0.1597222222222223,,,,B,"macd_golden_cross, above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, hist_turn_positive, adx_trending, stronger_than_market, obv_uptrend, dealer_buy_3d, bb_squeeze_breakout, mfi_strong, above_ichimoku_cloud",,,,
9,3026,禾伸堂,,1655.1799755650038,False,570.0,0.3814593610746013,88.16350901354262,53.53925429200128,15.0,6.0,4.0,-1,14,,0.4782612766225667,0.5616438356164384,,,,B,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, invest_trust_buy_2d, dealer_buy_3d, mfi_strong, above_ichimoku_cloud",,,,
10,4919,新唐,,1646.695116820655,False,211.0,1.938500880976373,69.68114202900412,29.981697243611357,4.0,6.0,0.0,-1,14,,0.323284107672795,0.4066666666666667,,,,B,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, invest_trust_buy_2d, bb_squeeze_breakout, mfi_strong, above_ichimoku_cloud",,,,
