rank,stock_id,name,industry_category,entry_score,entry_signal,close,open,high,low,volume,volume_ratio,rsi14,adx14,atr14,macd,macd_hist,bb_pct_b,stoch_k,stoch_d,ema20,ema60,foreign_buy_streak,invest_trust_streak,dealer_buy_streak,foreign_net,invest_trust_net,dealer_net,f_score,condition_count,margin_change_5d,short_ratio,relative_strength_5d,return_5d,day_return,momentum_score,revenue_yoy,revenue_mom,entry_reason,skip_reason,limit_down_streak
20,5474,聰泰,,1058.0371487638174,False,180.0,173.0,180.0,173.0,2184106,2.30371487638174,66.511557835364,36.45901095096126,8.11307986236024,5.586017415733494,-0.1070496364322615,1.1069453426407954,100.0,53.27380952380978,164.64692186002705,155.80522667367964,2.0,0.0,1.0,253651.0,0.0,24849.0,-1,15,0.0,0.0,-0.0148735338786334,0.0434782608695651,0.0975609756097561,38.1,0.0,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, avoid_chase, liquidity_ok, adx_trending, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",,0
21,4912,聯德控股-KY,,1042.1263635462028,False,115.0,111.0,115.5,107.5,2573868,1.7126363546202747,67.06362520202515,38.683218382948006,6.2277129894891,5.717517937977732,1.0250312719339316,0.8827665240387548,93.75,69.79166666666667,102.1445387836644,95.0313970099853,0.0,0.0,0.0,-489861.0,0.0,-3997.0,-1,14,0.0,0.0,0.0265538656291599,0.0849056603773585,0.0849056603773585,33.9,0.0,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",,0
22,8358,金居,,1040.8468336648102,False,608.0,579.0,608.0,565.0,20728920,1.5846833664810356,75.70924804525725,32.56979661323523,35.19331239703203,54.92797871831351,9.498830087040986,1.0723661921153702,100.0,95.02164502164426,482.3905640474627,386.95855775378976,11.0,1.0,0.0,279224.0,17000.0,-377956.0,-1,14,0.0,0.0,0.1063991631062075,0.1647509578544062,0.0994575045207957,43.8,0.0,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",,0
23,6134,萬旭,,1035.0,False,36.2,34.0,36.2,33.8,7845767,5.289677968312296,70.35186539213123,18.14163400097791,1.747301638076401,0.6717196941051711,0.377306335374442,1.237839893823336,100.0,82.96801764543731,32.194521937537054,31.19178548697669,8.0,0.0,1.0,1102000.0,0.0,1624.0,-1,13,0.0,0.0,0.0782259132580809,0.1365777080062795,0.0986342943854323,66.5,0.0,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, foreign_buy_3d, stronger_than_market, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",gap_chase_after_blowout,0
24,8104,錸寶,,1030.0,False,41.15,43.3,43.5,40.95,15570788,7.712978388505994,71.22924508852901,22.152891787452536,1.888954418187216,1.0687471109965827,0.7472851056779382,1.1994838465413762,76.96078431372548,85.8477695285231,35.99108743065555,35.14628988237228,0.0,0.0,0.0,-726198.0,0.0,-52337.0,-1,13,0.0,0.0,0.1040775837828749,0.1624293785310735,0.0048840048840048,70.0,0.0,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud","open_high_close_low, gap_chase_after_blowout",0
25,6127,九豪,,1027.7824285887768,False,67.3,63.0,67.3,60.4,38105114,1.7782428588776946,78.80993648176701,26.75928837862363,4.477532945408908,4.033511991072295,1.5475220589115626,1.2323054204135984,100.0,86.59167928473592,52.79623297151525,46.52406940092594,0.0,0.0,4.0,-4639721.0,0.0,132484.0,-1,14,0.0,0.0,0.2235529671565632,0.2819047619047619,0.0996732026143789,55.5,0.0,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, dealer_buy_3d, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",,0
26,3229,晟鈦,,1022.4316504159292,False,49.5,46.5,49.5,44.75,1166361,1.2431650415929032,66.40389185178213,43.89356157054249,3.5787194411327654,3.329196735049237,0.2715875005540691,0.939477790568345,94.07894736842108,76.52794445396891,41.49057839610066,33.89973616173135,6.0,0.0,1.0,196000.0,0.0,7.0,-1,13,0.0,0.0,0.1916482052518013,0.25,0.1,45.7,0.0,0.0,"macd_golden_cross, above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, hist_turn_positive, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, cci_momentum, above_ichimoku_cloud",,0
27,8472,夠麻吉,,1020.0,False,78.1,71.9,78.1,71.9,147036,5.711522214129643,64.86696163395746,19.778741871671283,3.1788599649156413,0.187069338924644,0.5964373784347229,1.4088187439579427,100.0,65.64102564102602,71.43073254849467,71.11554154119358,2.0,0.0,0.0,8000.0,0.0,0.0,-1,13,0.0,0.0,0.0670084357993516,0.1253602305475503,0.0999999999999998,63.7,0.0,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, stronger_than_market, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",,0
28,6584,南俊國際,,1019.938217067354,False,744.0,701.0,752.0,690.0,1727642,1.4938217067354107,63.29444701606573,13.9141383627047,41.96702416148377,13.849034922214171,1.837126765777633,1.0995734478796966,93.5483870967742,78.77742955349215,682.5298629084157,609.8403582240397,1.0,1.0,1.0,255961.0,48000.0,10203.0,-1,14,0.0,0.0,0.0341592184676604,0.092511013215859,0.0782608695652173,31.0,0.0,0.0,"macd_golden_cross, above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, hist_turn_positive, stronger_than_market, obv_uptrend, bb_squeeze_breakout, cci_momentum, mfi_strong, above_ichimoku_cloud",,0
29,8473,山林水,,1019.8270021340808,False,50.4,46.7,50.5,46.1,6820723,3.982700213408061,86.27546219731738,39.57112820220693,1.6970856837973862,2.455480042686517,1.4258280020168888,1.1799570583688035,99.31506849315068,95.3040673417169,40.01621804376681,38.1633394721086,10.0,0.0,1.0,1401789.0,0.0,10366.0,-1,14,0.0,0.0,0.2079798635432588,0.2663316582914574,0.0968443960826985,75.1,0.0,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",,0
